dataset,model,n_background,n_features,n_samples,learning_rate,max_depth,n_estimators,max_depth_config,order,backend,library,computation_type,approximator,budget,seed,imputer,n_eval,runtime_s,n_model_evals,base_value,additivity_gap,relative_additivity_gap,pairwise_metrics
gisette,xgboost,100,1000,1000,0.1,11,100,12,1,woodelf_gpu_path_dependent,woodelf,true_value,,,0,marginal,10,4.5163,,0.4845113301277161,,,"{""woodelf_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": NaN, ""mean_sample_rho"": 1.0}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,11,100,12,1,woodelf_gpu_interventional,woodelf,true_value,,,0,marginal,10,4.4145,,0.4845113301277161,,,"{""woodelf_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": NaN, ""mean_sample_rho"": 1.0}}"
gisette,xgboost,100,1000,1000,0.1,11,100,15,1,woodelf_path_dependent,woodelf,true_value,,,0,marginal,10,0.348,,-0.0360038887560021,0.0406088352203369,0.0076610435257928,"{""woodelf_path_dependent"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""woodelf_interventional"": {""mean_abs_diff"": 0.0022594659560859222, ""relative_mae"": 0.23275002766459174, ""sign_agreement"": 0.9879720952610055, ""mean_sample_rho"": 0.9739957947349904}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,11,100,15,1,woodelf_interventional,woodelf,true_value,,,0,marginal,10,0.4973,,0.4845113301277161,7.088168298530207e-07,1.364003927925754e-07,"{""woodelf_path_dependent"": {""mean_abs_diff"": 0.0022594659560859222, ""relative_mae"": 0.23275002766459174, ""sign_agreement"": 0.9879720952610055, ""mean_sample_rho"": 0.9739957947349904}, ""woodelf_interventional"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,11,100,15,1,woodelf_gpu_path_dependent,woodelf,true_value,,,0,marginal,10,4.2349,,0.4845113301277161,,,"{""woodelf_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": NaN, ""mean_sample_rho"": 1.0}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,11,100,15,1,woodelf_gpu_interventional,woodelf,true_value,,,0,marginal,10,4.2361,,0.4845113301277161,,,"{""woodelf_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": NaN, ""mean_sample_rho"": 1.0}}"
gisette,xgboost,100,1000,1000,0.1,11,100,20,1,woodelf_path_dependent,woodelf,true_value,,,0,marginal,10,0.3536,,-0.0360038887560021,0.0406088352203369,0.0076610435257928,"{""woodelf_path_dependent"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""woodelf_interventional"": {""mean_abs_diff"": 0.0022594659560859222, ""relative_mae"": 0.23275002766459174, ""sign_agreement"": 0.9879720952610055, ""mean_sample_rho"": 0.9739957947349904}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,11,100,20,1,woodelf_interventional,woodelf,true_value,,,0,marginal,10,0.501,,0.4845113301277161,7.088168298530207e-07,1.364003927925754e-07,"{""woodelf_path_dependent"": {""mean_abs_diff"": 0.0022594659560859222, ""relative_mae"": 0.23275002766459174, ""sign_agreement"": 0.9879720952610055, ""mean_sample_rho"": 0.9739957947349904}, ""woodelf_interventional"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,11,100,20,1,woodelf_gpu_path_dependent,woodelf,true_value,,,0,marginal,10,33.2538,,0.4845113301277161,,,"{""woodelf_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": NaN, ""mean_sample_rho"": 1.0}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,11,100,20,1,woodelf_gpu_interventional,woodelf,true_value,,,0,marginal,10,10.4429,,0.4845113301277161,,,"{""woodelf_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": NaN, ""mean_sample_rho"": 1.0}}"
gisette,xgboost,100,1000,1000,0.1,11,100,50,1,woodelf_path_dependent,woodelf,true_value,,,0,marginal,10,0.3554,,-0.0360038887560021,0.0406088352203369,0.0076610435257928,"{""woodelf_path_dependent"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""woodelf_interventional"": {""mean_abs_diff"": 0.0022594659560859222, ""relative_mae"": 0.23275002766459174, ""sign_agreement"": 0.9879720952610055, ""mean_sample_rho"": 0.9739957947349904}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
gisette,xgboost,100,1000,1000,0.1,11,100,50,1,woodelf_interventional,woodelf,true_value,,,0,marginal,10,0.5086,,0.4845113301277161,7.088168298530207e-07,1.364003927925754e-07,"{""woodelf_path_dependent"": {""mean_abs_diff"": 0.0022594659560859222, ""relative_mae"": 0.23275002766459174, ""sign_agreement"": 0.9879720952610055, ""mean_sample_rho"": 0.9739957947349904}, ""woodelf_interventional"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""woodelf_gpu_path_dependent"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}, ""woodelf_gpu_interventional"": {""mean_abs_diff"": NaN, ""relative_mae"": NaN, ""sign_agreement"": NaN, ""mean_sample_rho"": NaN}}"
