dataset,model,order,n_background,n_features,n_samples,backend,library,computation_type,approximator,budget,seed,imputer,n_eval,runtime_s,n_model_evals,shapley_values,shapley_n_eval,shapley_n_features,pairwise_metrics
ames_housing,random_forest,1,32,4,1000,shap_true_value,shap,true_value,,,42,marginal,10,0.0558,,"[3173.853017091751, -9218.963988780975, 44911.769132614136, 1262.3259673118591, -21665.245844364166, -4286.789029240608, -10852.3097012043, 1300.777335882187, 36582.94211101532, -2581.711058139801, 58184.90268564224, 1197.2389948368073, -3764.3972840309143, -7564.713403224945, 1774.1370913982391, 1039.5242354869843, -17983.857828617096, -11135.30691075325, 9569.568345546722, 830.9674797058105, 9154.990701913834, 3556.818963289261, 1733.9955620765686, 1675.8071665763855, 47958.90579891205, 10335.584585905075, 48352.81346035004, 1147.590828180313, 11971.740980386734, -4123.5315554142, -69651.3963508606, 1324.6779775619507, -19586.02768445015, -2572.265749692917, -22234.716232776642, -3544.6376633644104, -3345.8674008846283, 14699.072658777237, -7252.102243185043, 1488.2520022392273]",10,4,"{""shap_true_value"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shap_approx"": {""mean_abs_diff"": 162.91001993717498, ""relative_mae"": 0.012178721111930826, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shapiq_approx"": {""mean_abs_diff"": 393.70811365606346, ""relative_mae"": 0.0293952945072624, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.96}, ""lightshap_approx"": {""mean_abs_diff"": 143.94174068698186, ""relative_mae"": 0.010761876633347371, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""dalex_approx"": {""mean_abs_diff"": 259.9768968900423, ""relative_mae"": 0.019456943099802584, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}}"
ames_housing,random_forest,1,32,4,1000,shap_approx,shap,approximation,kernel,512.0,42,marginal,10,0.1787,4522.0,"[3173.8530915178544, -9218.964505208356, 44911.768299851195, 1262.3259114583489, -21665.245873015887, -4286.788529265861, -10852.310039682548, 1300.7772395833235, 36582.94187872021, -2581.7104650297792, 58184.90245163689, 1197.2389322917152, -3764.3971664186447, -7564.712322668643, 1774.1380939980236, 1039.5241927083152, -17983.8575, -11135.30604166668, 9569.568891369023, 830.9674479166788, 9154.991173115071, 3556.818859126991, 1733.9956820436144, 1675.8070833333713, 47958.90496899802, 10335.584708581348, 48352.81236483132, 1147.5907552083372, 11971.74082192462, -4123.531526289681, -69651.39441468257, 1324.6779166666674, -19586.027322668633, -2572.265923859137, -22234.716251240094, -3544.637704613101, -3345.868043154783, 14699.072165178575, -7252.103251488088, 1488.2519270833345]",10,4,"{""shap_true_value"": {""mean_abs_diff"": 0.0003870748340375485, ""relative_mae"": 2.8962256502514357e-08, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shap_approx"": {""mean_abs_diff"": 162.9100670745672, ""relative_mae"": 0.012178724695813973, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shapiq_approx"": {""mean_abs_diff"": 393.7080550039413, ""relative_mae"": 0.029395290272815396, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.96}, ""lightshap_approx"": {""mean_abs_diff"": 143.94180166414452, ""relative_mae"": 0.010761881245375887, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""dalex_approx"": {""mean_abs_diff"": 259.9770251499766, ""relative_mae"": 0.019456952794901446, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}}"
ames_housing,random_forest,1,32,4,1000,shap_approx,shap,approximation,permutation,512.0,42,marginal,10,8.7301,128592.0,"[3388.6852436755735, -9130.704534040216, 44616.40432012644, 1254.5977678571467, -21674.288523331197, -4111.423279655581, -11035.735773278064, 1317.880373883931, 36508.67253481072, -2330.2803930166433, 58008.32388964172, 1196.6567661830354, -3616.9652698501004, -7959.953437367103, 2037.603187314018, 1023.8683175223214, -17707.805918898808, -11436.851914062527, 9553.913373325862, 872.117257254465, 9349.01255806223, 3099.9083983046116, 2012.7218970556225, 1659.9699441964308, 47943.59744658805, 10300.664051737893, 48386.004499627976, 1164.626799665182, 12344.74066788905, -3675.381240858847, -70474.12565842901, 1326.2590290178543, -19728.713091119258, -2522.480034545083, -22176.809723240858, -3509.6443534757695, -3627.605946534888, 14859.118818160086, -7117.430313961518, 1475.2702399553575]",10,4,"{""shap_true_value"": {""mean_abs_diff"": 162.91001993717498, ""relative_mae"": 0.012178721111930826, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shap_approx"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shapiq_approx"": {""mean_abs_diff"": 397.4527748868441, ""relative_mae"": 0.029648739839741874, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.96}, ""lightshap_approx"": {""mean_abs_diff"": 189.86530649584483, ""relative_mae"": 0.014182853006284267, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""dalex_approx"": {""mean_abs_diff"": 334.0979597711096, ""relative_mae"": 0.024982161856199416, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}}"
ames_housing,random_forest,1,32,4,1000,shapiq_approx,shapiq,approximation,kernel,512.0,42,marginal,10,2.1194,5153.0,"[3173.8532182938707, -9218.964499572661, 44911.76823857168, 1262.325862029228, -21665.245819302854, -4286.788645176888, -10852.310093969658, 1300.7773148351243, 36582.94194659269, -2581.7091519369874, 58184.9019549723, 1197.2378984190486, -3764.397052440309, -7564.712202469731, 1774.138128845434, 1039.5241203369312, -17983.857495876808, -11135.305770529398, 9569.568702444334, 830.9673882124183, 9154.99103715251, 3556.8189999495457, 1733.9955009189173, 1675.807032680241, 47958.90519878965, 10335.58380977682, 48352.81214099845, 1147.5914435736026, 11971.741393774417, -4123.531892952194, -69651.39394310284, 1324.677352539397, -19586.028518756342, -2572.2655300935667, -22234.7156293705, -3544.637521976903, -3345.8680836465696, 14699.072103221755, -7252.103290345287, 1488.2519416563152]",10,4,"{""shap_true_value"": {""mean_abs_diff"": 0.0005686170432880999, ""relative_mae"": 4.254586263645244e-08, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shap_approx"": {""mean_abs_diff"": 162.90993814381562, ""relative_mae"": 0.012178715101312899, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shapiq_approx"": {""mean_abs_diff"": 393.70798799383476, ""relative_mae"": 0.029395285375777618, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.96}, ""lightshap_approx"": {""mean_abs_diff"": 143.9417265533614, ""relative_mae"": 0.01076187566858353, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""dalex_approx"": {""mean_abs_diff"": 259.97708738054143, ""relative_mae"": 0.019456957522708172, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}}"
ames_housing,random_forest,1,32,4,1000,shapiq_approx,shapiq,approximation,permutation,512.0,42,marginal,10,75.5707,163873.0,"[3729.5196255252094, -9818.66586397061, 44891.05115922618, 1327.0778768382645, -21525.427999037114, -4689.914132528005, -10653.328561624649, 1365.1034908088116, 36879.962142944576, -2492.4422232143143, 57868.14741832973, 1127.7054595588884, -4447.7339765406105, -7409.431858543412, 2298.1491823354436, 1043.5694503676266, -17696.24466421566, -11133.985849264722, 9344.813099702355, 766.7902113970764, 8723.011688900542, 2651.602271008412, 3051.604492121808, 1695.39434558827, 50533.82666491605, 10873.761307685569, 45338.57362097339, 1048.731204044122, 12048.476554779412, -3737.3359278711537, -70140.97052965689, 1351.3227003676411, -19691.44285119049, -2387.3907977941344, -22410.733954919455, -3448.079598476894, -3401.973054009127, 14969.827103729009, -7429.68424290966, 1451.182990808824]",10,4,"{""shap_true_value"": {""mean_abs_diff"": 393.70811365606346, ""relative_mae"": 0.0293952945072624, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.96}, ""shap_approx"": {""mean_abs_diff"": 397.4527748868441, ""relative_mae"": 0.029648739839741874, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.96}, ""shapiq_approx"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""lightshap_approx"": {""mean_abs_diff"": 412.2490424614473, ""relative_mae"": 0.030755842635594853, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.96}, ""dalex_approx"": {""mean_abs_diff"": 513.3366678018243, ""relative_mae"": 0.038336098649114914, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.96}}"
ames_housing,random_forest,1,32,4,1000,lightshap_approx,lightshap,approximation,kernel,512.0,42,marginal,10,10.1442,241578.0,"[3154.548902643172, -8975.282059709652, 44485.699242512695, 1464.016712172824, -21648.480832676996, -4393.024727995167, -10642.110095931966, 1180.0484542231602, 36415.35843337141, -2377.6796605903983, 57910.21406409152, 1435.4799607465043, -3701.164336122287, -7611.545683199371, 1761.5560878632414, 1035.7067290774648, -17822.276357508126, -11263.624818989934, 9515.046078366006, 852.2278957510874, 9105.47668769741, 3583.6645058107615, 1747.4049859397678, 1685.0666181711094, 47712.750436821865, 10552.603042683835, 48172.70064553194, 1356.838672581379, 11973.29699154202, -3823.988372522023, -70072.61741156034, 1444.801590159378, -19441.395754652716, -2673.7360850059886, -22049.588868009032, -3772.926494713227, -3512.2622144434076, 14775.08885568893, -7153.805085656475, 1480.3312420299903]",10,4,"{""shap_true_value"": {""mean_abs_diff"": 138.08801264930347, ""relative_mae"": 0.010340500149760467, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shap_approx"": {""mean_abs_diff"": 178.22843106114968, ""relative_mae"": 0.013334559511660186, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shapiq_approx"": {""mean_abs_diff"": 414.5043924668089, ""relative_mae"": 0.030972762934523782, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.96}, ""lightshap_approx"": {""mean_abs_diff"": 131.89710353509628, ""relative_mae"": 0.009869254692635871, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""dalex_approx"": {""mean_abs_diff"": 325.5953924418305, ""relative_mae"": 0.024387444528381496, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}}"
ames_housing,random_forest,1,32,4,1000,lightshap_approx,lightshap,approximation,permutation,512.0,42,marginal,10,9.3193,83050.0,"[3453.462909226192, -9202.14315104167, 44498.13680245535, 1379.5262369791697, -21820.947911255418, -4324.434521780309, -10588.141686958892, 1229.9569176136456, 37029.41629836309, -2556.0040848214458, 57741.89925595238, 1168.061328124997, -3704.8131262061547, -7665.369252203083, 1806.3684249296514, 1048.3667510986365, -17696.517698193235, -11504.252614767698, 9653.83945322378, 828.3036573561968, 9099.122162955155, 3618.13126009986, 1728.1981324986034, 1676.1612420654353, 48054.97592261904, 10410.83712053571, 48064.45272321427, 1264.6270312499923, 12285.532859890112, -4280.604049679505, -69770.34174576466, 1286.9057331730796, -19409.898295304225, -2621.319250165357, -21979.602080026467, -3926.8275768849126, -3499.882316662014, 14835.236962541843, -7226.741396600645, 1480.739548339849]",10,4,"{""shap_true_value"": {""mean_abs_diff"": 143.94174068698186, ""relative_mae"": 0.010761876633347371, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shap_approx"": {""mean_abs_diff"": 189.86530649584483, ""relative_mae"": 0.014182853006284267, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shapiq_approx"": {""mean_abs_diff"": 412.2490424614473, ""relative_mae"": 0.030755842635594853, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.96}, ""lightshap_approx"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""dalex_approx"": {""mean_abs_diff"": 346.5545401196499, ""relative_mae"": 0.025916429494440025, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}}"
ames_housing,random_forest,1,32,4,1000,dalex_approx,dalex,approximation,permutation,512.0,42,marginal,10,45.3676,205163.0,"[3150.8549652390284, -9312.827622070316, 45120.14347935268, 1170.8119750976566, -21571.82308058966, -4353.442668805811, -10752.417546735502, 1174.116093750002, 35788.54135056268, -2745.422903180821, 59216.22914271763, 1124.0252075195308, -3590.9155814034466, -7220.8956424386215, 1352.1721928478314, 944.1918286132866, -18104.401460774763, -11173.581000976563, 9829.553818940665, 729.8014404296898, 8583.510391090034, 3328.819453124992, 2611.085053013392, 1598.197900390629, 46953.51006312778, 10179.319455217625, 49627.40115769158, 1034.662121582033, 12419.577888509115, -4195.736083170591, -69981.60378311013, 1279.2547753906274, -19539.808983328672, -2619.5442016601723, -22276.287623000375, -3502.0063943917376, -3288.724962913874, 14506.80826381138, -7008.37105747769, 1379.640554199223]",10,4,"{""shap_true_value"": {""mean_abs_diff"": 259.9768968900423, ""relative_mae"": 0.019456943099802584, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shap_approx"": {""mean_abs_diff"": 334.0979597711096, ""relative_mae"": 0.024982161856199416, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shapiq_approx"": {""mean_abs_diff"": 513.3366678018243, ""relative_mae"": 0.038336098649114914, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.96}, ""lightshap_approx"": {""mean_abs_diff"": 346.5545401196499, ""relative_mae"": 0.025916429494440025, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""dalex_approx"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}}"
ames_housing,decision_tree,1,32,4,1000,shap_true_value,shap,true_value,,,42,marginal,10,0.0009,,"[844.038330078125, -733.1636962890625, 32945.906982421875, 2108.064453125, -28388.327758789062, -8562.350189208984, -15928.969360351562, 1581.04833984375, 35753.16906738281, 2839.2401123046875, 60085.0673828125, 1494.522705078125, -3382.9632568359375, -59080.052734375, 35992.108154296875, 1135.75390625, -11045.597290039062, -927.0911865234375, 15320.282470703125, 1054.0322265625, 6710.7288818359375, 6170.951171875, -7521.5692138671875, 1581.04833984375, 35452.93395996094, 28091.96142578125, 37546.91973876953, 1739.687744140625, 18867.710693359375, 3439.3890380859375, -92136.77758789062, 1494.522705078125, -11744.92138671875, 272.5311279296875, -23347.011169433594, 1267.573974609375, 1414.863525390625, 2331.5105895996094, -6552.921447753906, 1581.04833984375]",10,4,"{""shap_true_value"": {""mean_abs_diff"": 0.0, ""relative_mae"": 0.0, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shap_approx"": {""mean_abs_diff"": 278.262797175791, ""relative_mae"": 0.0182481557062043, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shapiq_approx"": {""mean_abs_diff"": 460.64726170750214, ""relative_mae"": 0.03017829022603289, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.9800000000000001}, ""lightshap_approx"": {""mean_abs_diff"": 191.1511996690044, ""relative_mae"": 0.012580413801391056, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""dalex_approx"": {""mean_abs_diff"": 396.2508241874014, ""relative_mae"": 0.02612881763984488, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.9800000000000001}}"
ames_housing,decision_tree,1,32,4,1000,shap_approx,shap,approximation,kernel,512.0,42,marginal,10,0.0229,4522.0,"[844.036077906579, -733.162999803084, 32945.908581258365, 2108.0643656716434, -28388.327075284236, -8562.349984421606, -15928.969633958839, 1581.0482742537497, 35753.16293802558, 2839.240274006456, 60085.06297113933, 1494.522699004985, -3382.9637467350126, -59080.05244609845, 35992.10844058859, 1135.7537772783762, -11045.59804040256, -927.0907288870449, 15320.28522018293, 1054.0321828358276, 6710.728723936042, 6170.953256319131, -7521.568440001738, 1581.0482742537497, 35452.9377407311, 28091.959076959538, 37546.92839167694, 1739.6874823326216, 18867.710119782078, 3439.3892140649255, -92136.77600781847, 1494.5226990049705, -11744.919396593468, 272.53354644810315, -23347.008640990258, 1267.5738495024682, 1414.8670723735868, 2331.509167950719, -6552.919952959169, 1581.048274253735]",10,4,"{""shap_true_value"": {""mean_abs_diff"": 0.0013954726599848754, ""relative_mae"": 9.173674878502247e-08, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shap_approx"": {""mean_abs_diff"": 278.26285837588347, ""relative_mae"": 0.018248159747748776, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""shapiq_approx"": {""mean_abs_diff"": 460.6478726555569, ""relative_mae"": 0.03017833029739319, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.9800000000000001}, ""lightshap_approx"": {""mean_abs_diff"": 191.15118551138767, ""relative_mae"": 0.012580412889072917, ""sign_agreement"": 1.0, ""mean_sample_rho"": 1.0}, ""dalex_approx"": {""mean_abs_diff"": 396.250694455307, ""relative_mae"": 0.026128809125772888, ""sign_agreement"": 1.0, ""mean_sample_rho"": 0.9800000000000001}}"
