dataset,model,library,approximator,budget,method,seed_count,runtime_median,runtime_q25,runtime_q75,relative_mae_median,relative_mae_q25,relative_mae_q75,rho_median,rho_q25,rho_q75,sign_agreement_median,sign_agreement_q25,sign_agreement_q75,rel_additivity_gap_median,rel_additivity_gap_q25,rel_additivity_gap_q75
ames_housing,random_forest,lightshap,kernel,2048.0,lightshap / kernel,10,7.809699999999999,7.17685,9.0699,0.027043027967035935,0.023050085218346252,0.027480506345218227,0.9930069930069931,0.9907342657342659,0.9942307692307693,0.9375,0.9125,0.9479166666666666,3.668599658723957e-17,2.8475265248655384e-17,7.564505712844191e-17
ames_housing,random_forest,lightshap,permutation,128.0,lightshap / permutation,10,6.305149999999999,5.680175,7.339725,0.020179074627424944,0.01886891553628557,0.022100922345434107,0.9960623713933305,0.9951048951048952,0.9965034965034965,1.0,0.99375,1.0,6.015703646972687e-17,6.43805888298337e-18,9.604755424171446e-17
ames_housing,random_forest,lightshap,permutation,512.0,lightshap / permutation,10,7.375249999999999,6.739974999999999,8.699125,0.019943300439817468,0.018151036077797125,0.022065009255099337,0.9954545454545456,0.9951048951048952,0.9964577591232386,1.0,0.99375,1.0,4.9881995328417026e-17,2.2130293723602164e-17,1.0963953063341049e-16
ames_housing,random_forest,lightshap,permutation,2048.0,lightshap / permutation,10,7.376150000000001,6.7214,8.680275,0.019943300439817468,0.018151036077797125,0.021957191506283828,0.9954545454545456,0.9951048951048952,0.9964577591232386,1.0,0.99375,1.0,4.9881995328417026e-17,2.2130293723602164e-17,1.0963953063341049e-16
ames_housing,random_forest,shap,kernel,128.0,shap / kernel,10,0.5991500000000001,0.5922000000000001,0.6021500000000001,0.06914242650245288,0.06393150611420853,0.08283462791657797,0.965850868221495,0.9621731042627188,0.9692251842464457,0.955,0.9424999999999999,0.96,6.093640697809912e-16,1.685073413210728e-16,7.131028434325352e-16
ames_housing,random_forest,shap,kernel,512.0,shap / kernel,10,1.7277,1.7063249999999999,1.751375,0.032297367515314465,0.027366823771452588,0.03438607921772745,0.9879174519741529,0.9845899512495457,0.9908071236560485,0.985,0.97,0.99,4.739157344151091e-16,1.5731227197688996e-16,7.7728674202245955e-16
ames_housing,random_forest,shap,kernel,2048.0,shap / kernel,10,6.13585,5.974525,6.262825,0.012002477776483873,0.010168190950637574,0.014611774462087312,0.9938719269550287,0.9924708740183521,0.9966740328283822,0.995,0.99,1.0,5.606633493580213e-16,2.032162588181525e-16,6.272629835675985e-16
ames_housing,random_forest,shap,permutation,128.0,shap / permutation,10,0.83995,0.8321500000000001,0.8449500000000001,0.04746922132985468,0.04650874775199048,0.053698562815895134,0.9873892773892774,0.9840909090909091,0.990909090909091,0.9866666666666666,0.9770833333333333,0.9979166666666667,3.0829948028529833e-15,2.6096130401206465e-15,4.6899608526638105e-15
ames_housing,random_forest,shap,permutation,512.0,shap / permutation,10,2.9920999999999998,2.9396750000000003,2.9946,0.027503450741856707,0.023243478477312986,0.03034653872977957,0.9951048951048951,0.9931818181818183,0.9970279720279721,1.0,0.9916666666666667,1.0,3.084761318302793e-15,2.551265845399681e-15,4.734357863215942e-15
ames_housing,random_forest,shap,permutation,2048.0,shap / permutation,10,11.6847,11.600525000000001,11.768550000000001,0.013246833952720027,0.01050855690581024,0.015926402184079466,0.9975524475524478,0.9959790209790211,0.9998251748251749,0.9958333333333333,0.9916666666666667,1.0,3.322294673695014e-15,2.5615395418168014e-15,4.707371223129605e-15
ames_housing,random_forest,shapiq,kernel,128.0,shapiq / kernel,10,7.198,7.173325,7.22015,0.16953275059134965,0.14913261703229835,0.17820525277049706,0.9241258741258742,0.9169580419580422,0.9356643356643358,0.8683333333333334,0.8520833333333333,0.88125,2.5620856129565113e-09,2.111145270345409e-09,2.7499782442561694e-09
ames_housing,random_forest,shapiq,kernel,512.0,shapiq / kernel,10,8.582450000000001,8.517875,8.680975,0.06630536656908007,0.05790357321544556,0.07115061199775964,0.9762237762237762,0.9657342657342657,0.9802447552447553,0.9041666666666667,0.89375,0.9170833333333334,2.674441814926331e-09,2.301572559655546e-09,2.948647397888235e-09
ames_housing,random_forest,shapiq,kernel,2048.0,shapiq / kernel,10,14.191199999999998,14.094299999999999,14.213524999999999,0.022759738182493872,0.01920595510527383,0.023727740669411152,0.9912587412587414,0.9886363636363639,0.9928321678321679,0.9291666666666667,0.9175,0.9416666666666667,2.698767611797141e-09,2.303415367787653e-09,2.9871570980042305e-09
ames_housing,random_forest,shapiq,permutation,128.0,shapiq / permutation,10,33.54115,33.024425,33.784850000000006,0.10918138159254268,0.08992464394357359,0.11834743303868321,0.9699300699300699,0.9628763656145313,0.9795454545454547,0.9583333333333334,0.94375,0.9670833333333333,6.669334216689253e-16,3.95034573706552e-16,7.763231769380243e-16
ames_housing,random_forest,shapiq,permutation,512.0,shapiq / permutation,10,80.4899,79.4775,81.653475,0.05397024014995486,0.05082309652421104,0.06346226107390761,0.9870629370629371,0.9848717236995518,0.991958041958042,0.9791666666666666,0.975,0.9895833333333334,6.451578862234673e-16,4.553010632573737e-16,7.713420381992006e-16
ames_housing,random_forest,shapiq,permutation,2048.0,shapiq / permutation,10,269.9507,265.6801,270.58515,0.025860947097351945,0.023248232022964197,0.030171038600107024,0.9940559440559442,0.9937062937062938,0.9962396502548199,0.9916666666666667,0.9916666666666667,0.9979166666666667,7.641625172483641e-16,6.278046549001249e-16,9.459670631932683e-16
bike,decision_tree,dalex,permutation,128.0,dalex / permutation,10,0.94275,0.9277,0.949075,0.22819748873212814,0.17519772973057762,0.2530843248363877,0.938811188811189,0.933741258741259,0.9412587412587413,0.9359649122807018,0.9194819819819819,0.9469026548672567,6.596926896214392e-17,3.854912797996616e-17,9.382124319706753e-17
bike,decision_tree,dalex,permutation,512.0,dalex / permutation,10,3.6847000000000003,3.60235,3.699875,0.1050376167745425,0.09832083925390143,0.11655045133200662,0.9776223776223777,0.9765734265734267,0.9826923076923078,0.9783299296573633,0.9684782608695652,0.9831140350877192,9.930114669487982e-17,6.251073092490236e-17,1.0765372594602934e-16
bike,decision_tree,dalex,permutation,2048.0,dalex / permutation,10,13.953949999999999,13.847199999999999,14.1709,0.05580412987284987,0.04545608094320765,0.07013083293639835,0.9884615384615385,0.9847902097902099,0.9942307692307691,0.9833333333333333,0.9769764957264957,0.9890765765765765,9.639882938089332e-17,5.1124712701377116e-17,1.259122325487278e-16
