dataset,model,library,approximator,method,device,n_features,runtime_median,runtime_q25,runtime_q75,gap_mean,gap_q25,gap_q75,rho_median,rho_q25,rho_q75,relative_mae_median,relative_mae_q25,relative_mae_q75,sign_agreement_median,seed_count
covertype,transformer,captum,gradient_shap,captum / gradient_shap,cpu,54,7.3276,7.235675,7.4058,0.07498899171889198,0.06051234382982077,0.09206203633880153,0.4440410412568322,0.36103890494607616,0.47145252578570374,1.1980057220803824,1.137275154191394,1.2670066961688737,0.6802389705882352,10
covertype,transformer,captum,gradient_shap,captum / gradient_shap,gpu,54,0.1394,0.130975,0.16605,,,,,,,,,,,10
covertype,transformer,shapiq,kernel,shapiq / kernel,cpu,54,255.48965,254.272675,256.7649,7.890120210974019e-08,3.506307338900278e-08,1.225872843367427e-07,0.37147592563700127,0.2738383308807463,0.41290935767915915,1.2477665500974588,1.2165409368660323,1.3280191069554312,0.6314144736842104,10
covertype,transformer,shapiq,permutation,shapiq / permutation,cpu,54,246.82035000000002,245.8712,247.612275,2.2685042792466128e-07,1.5613575310611911e-07,2.7334429271770583e-07,0.46203633436164226,0.36234721085931976,0.4888326837163439,1.2137875744894053,1.1399812702532484,1.2782291520942306,0.6964527027027028,10
covertype,transformer,shapiq_proxy,proxy,shapiq / proxyShap,cpu,54,255.53155,254.948975,257.46505,2.0539883849019858e-07,1.8940084181556133e-07,2.3154177185504542e-07,0.3876670210330739,0.32301800018931426,0.4399643725759784,1.2695099504267087,1.2233769912434789,1.3050229907911284,0.6619200138504155,10
diabetes_130,cnn_1d,captum,deep_lift_shap,captum / deep_lift_shap,cpu,47,0.0869,0.08524999999999999,0.088325,0.2407148694332366,0.21121399057345394,0.2877110263282541,0.9782036316243938,0.9758327563164143,0.9798542402388803,0.20084575812570166,0.17508190775015905,0.21977087078674892,0.9831378853792321,10
diabetes_130,cnn_1d,captum,deep_lift_shap,captum / deep_lift_shap,gpu,47,0.034,0.030125,0.03705,0.24071489527832718,0.21121335658374735,0.2877111630079886,0.9782036316243938,0.9758327563164143,0.9798542402388803,0.20084577217027602,0.17508189483586337,0.21977089273623052,0.9831378853792321,10
diabetes_130,cnn_1d,captum,gradient_shap,captum / gradient_shap,cpu,47,0.13335,0.129425,0.13947500000000002,0.11929445336195807,0.0944129867159859,0.12483880532689128,0.9724591720286877,0.9668004641701198,0.9754687295494134,0.12205059410818474,0.11923101094955832,0.12325347619498404,0.9859933742570399,10
diabetes_130,cnn_1d,captum,gradient_shap,captum / gradient_shap,gpu,47,0.11175,0.109225,0.116425,0.11255272668576495,0.09258545407402193,0.1265783409624321,0.9782036316243938,0.9758327563164143,0.9798542402388803,0.20084577217027602,0.17508189483586337,0.21977089273623052,0.9831378853792321,10
diabetes_130,cnn_1d,shapiq,kernel,shapiq / kernel,cpu,47,1.18575,1.153525,1.21045,3.2936825318764025e-07,1.0039436628319658e-07,5.533174428183229e-07,0.9533042390639594,0.946033036903852,0.9591674952468723,0.22346883164652728,0.21550746397141352,0.23079151157303895,0.978755641521599,10
diabetes_130,cnn_1d,shapiq,permutation,shapiq / permutation,cpu,47,1.77445,1.7413500000000002,1.80575,6.703554109109717e-07,5.234217161690184e-07,7.580738184853378e-07,0.9670859898679474,0.9639879885882843,0.9709989782144939,0.19996449697351645,0.1897494736858073,0.21633220730571698,0.9785889918668431,10
diabetes_130,cnn_1d,shapiq_proxy,proxy,shapiq / proxyShap,cpu,47,1.449,1.425075,1.5146,4.2547848123882424e-07,2.4148968880629416e-07,6.506702952725285e-07,0.9064156239078562,0.887298045600953,0.912917606495178,0.5436558071203558,0.5312654950507989,0.5629466837686683,0.9700980392156863,10
diabetes_130,mlp,captum,deep_lift_shap,captum / deep_lift_shap,cpu,47,0.0174,0.0169,0.0175,0.6983820113506752,0.610549172922128,0.7642694680190256,0.9586730113008374,0.9508082952318746,0.9673416067929459,0.38334955821259076,0.34368194406486197,0.4498225423793403,0.9611029913280718,10
diabetes_130,mlp,captum,deep_lift_shap,captum / deep_lift_shap,gpu,47,0.043800000000000006,0.0352,0.045899999999999996,0.6983819004924996,0.6105490299246431,0.7642692265719464,0.9586730113008374,0.9508082952318746,0.9673416067929459,0.38334953996683807,0.3436819418101401,0.4498225343094011,0.9611029913280718,10
diabetes_130,mlp,captum,gradient_shap,captum / gradient_shap,cpu,47,0.060399999999999995,0.058925,0.0633,0.1500549482564845,0.11713819817794097,0.1734613830850671,0.9617227908067022,0.9584117242865251,0.971990606358132,0.1250080278892298,0.1195380605467799,0.13024948416363502,0.9530989654856725,10
diabetes_130,mlp,captum,gradient_shap,captum / gradient_shap,gpu,47,0.10969999999999999,0.104225,0.11877499999999999,0.15550618608131495,0.12565590054019904,0.19776467285267277,0.9586730113008374,0.9508082952318746,0.9673416067929459,0.38334953996683807,0.3436819418101401,0.4498225343094011,0.9611029913280718,10
diabetes_130,mlp,shapiq,kernel,shapiq / kernel,cpu,47,0.6346499999999999,0.6217750000000001,0.6435000000000001,1.1977714340438816e-07,5.612140519953366e-08,1.623539416430881e-07,0.8761741340722191,0.8554502281463892,0.8908369433747143,0.45253701839738486,0.4368499227735605,0.4924948147100658,0.9121212121212121,10
diabetes_130,mlp,shapiq,permutation,shapiq / permutation,cpu,47,1.1771500000000001,1.158725,1.194375,2.9696979149334076e-07,1.9343176401729493e-07,2.9910770353151314e-07,0.9301213962413114,0.9247720248416533,0.9358391979222991,0.41799381240997946,0.38608906658207515,0.4514055711762006,0.9348484848484848,10
diabetes_130,mlp,shapiq_proxy,proxy,shapiq / proxyShap,cpu,47,0.8982,0.87615,0.93545,2.633396799908993e-07,1.8382950353126512e-07,3.210057567485054e-07,0.8847251996776109,0.8792004595890502,0.893691889528329,0.7295058052428331,0.6759417786479797,0.7565853344224098,0.9137736885471024,10
diabetes_130,transformer,captum,deep_lift_shap,captum / deep_lift_shap,cpu,47,2.33315,2.3188250000000004,2.338475,0.6413437960149913,0.4266901390525233,0.8687381316625222,0.9071960666067889,0.8989999174244477,0.9157146250222672,0.5980859467351458,0.40507934183735805,0.788363888644217,0.9166666666666667,10
diabetes_130,transformer,captum,deep_lift_shap,captum / deep_lift_shap,gpu,47,0.12065000000000001,0.10925,0.12375,0.8899568585193229,0.5160599750253108,0.9781621671768597,0.7559122197256467,0.7430470361269342,0.7696641433230662,0.8368531252494658,0.7352630333050746,0.9326520675570275,0.806060606060606,10
diabetes_130,transformer,captum,gradient_shap,captum / gradient_shap,cpu,47,6.33245,6.229425,6.4551,0.06122292664139163,0.0497112133823677,0.07216650961951157,0.7559122197256467,0.7430470361269342,0.7696641433230662,0.8368531252494658,0.7352630333050746,0.9326520675570275,0.806060606060606,10
diabetes_130,transformer,captum,gradient_shap,captum / gradient_shap,gpu,47,0.12685,0.117725,0.1367,,,,,,,,,,,10
diabetes_130,transformer,shapiq,kernel,shapiq / kernel,cpu,47,227.64075000000003,226.72645,228.27100000000002,3.7194854681908924e-07,2.6600447973097625e-08,5.527948575493398e-07,0.7430997763118496,0.7140567795807693,0.7486589253587679,0.85413157474082,0.739406342388579,0.9438628811263957,0.7984848484848485,10
diabetes_130,transformer,shapiq,permutation,shapiq / permutation,cpu,47,220.2439,219.3979,221.9381,3.930912089120864e-06,1.0828799800563845e-06,4.784875124558091e-06,0.7561362583609559,0.7399105236824794,0.7713559423297612,0.8260680733000516,0.7320961287592391,0.9268258713589014,0.8093838689004852,10
diabetes_130,transformer,shapiq_proxy,proxy,shapiq / proxyShap,cpu,47,227.71615,227.27725,228.863975,4.815983866731798e-07,2.940833584645471e-07,5.900886572118503e-07,0.7072610319690631,0.6901256233252232,0.7293883262466274,0.9337475680199394,0.8526897525961314,1.0502003280522234,0.7819139118524203,10
gisette,cnn_1d,captum,deep_lift_shap,captum / deep_lift_shap,cpu,100,0.18795,0.184275,0.192575,0.01187540588489973,0.00810735161829945,0.0147773461066577,0.9934467446744674,0.9930834083408339,0.9945082508250824,0.04182059639160275,0.03958745423240794,0.04627242383100081,0.9975,10
gisette,cnn_1d,captum,deep_lift_shap,captum / deep_lift_shap,gpu,100,0.0475,0.043625,0.056499999999999995,0.0118754887292572,0.00810749476370785,0.014777427811327074,0.9934467446744674,0.9930834083408339,0.9945082508250824,0.04182059284371141,0.039587455961946974,0.04627243759588395,0.9975,10
gisette,cnn_1d,captum,gradient_shap,captum / gradient_shap,cpu,100,0.2284,0.224175,0.23204999999999998,0.055433543935894634,0.040828822312615025,0.06958440228890803,0.989009900990099,0.9877458745874585,0.9896975697569755,0.056023874993520614,0.05459240168272542,0.06113151821741452,0.9955,10
gisette,cnn_1d,captum,gradient_shap,captum / gradient_shap,gpu,100,0.11965,0.116025,0.180425,0.053530522200089484,0.042156236991293575,0.05239900308656027,0.9934467446744674,0.9930834083408339,0.9945082508250824,0.04182059284371141,0.039587455961946974,0.04627243759588395,0.9975,10
gisette,cnn_1d,shapiq,kernel,shapiq / kernel,cpu,100,3.9151499999999997,3.8236999999999997,5.061375,1.1186995195085681e-06,6.591369296919019e-07,1.2623328445156939e-06,0.9544956495649564,0.9349294929492948,0.9629054905490547,0.10733059654255037,0.08443732870233361,0.1522769395237853,0.9884999999999999,10
gisette,cnn_1d,shapiq,permutation,shapiq / permutation,cpu,100,3.56085,3.46745,4.662425,1.2965029419357827e-06,7.215147444833991e-07,1.2718135453136755e-06,0.9716123612361235,0.9601839183918391,0.981009600960096,0.08223267266543605,0.0665543941697609,0.11070981422853948,0.9944999999999999,10
gisette,cnn_1d,shapiq_proxy,proxy,shapiq / proxyShap,cpu,100,3.9968500000000002,3.7860750000000003,4.94935,1.117335971004423e-06,5.579872293777104e-07,1.3323928810641433e-06,0.7887614761476147,0.7663141314131412,0.8077083708370837,0.9686557360369501,0.9171223559970285,1.000112669047955,0.924,10
