dataset,model,library,approximator,device,max_depth,seed,n_features,runtime_s
ames_housing,xgboost,woodelf,interventional,cpu,8,0,79,4.125
ames_housing,xgboost,woodelf,path_dependent,gpu,8,0,79,44.3173
ames_housing,xgboost,woodelf,interventional,gpu,8,0,79,44.5977
ames_housing,xgboost,woodelf,path_dependent,cpu,12,0,79,9.3173
ames_housing,xgboost,woodelf,interventional,cpu,12,0,79,17.8753
ames_housing,xgboost,woodelf,path_dependent,gpu,12,0,79,154.9804
ames_housing,xgboost,woodelf,interventional,gpu,12,0,79,157.107
ames_housing,xgboost,woodelf,path_dependent,cpu,15,0,79,8.4634
ames_housing,xgboost,woodelf,interventional,cpu,15,0,79,8.8063
ames_housing,xgboost,woodelf,path_dependent,gpu,15,0,79,141.0998
ames_housing,xgboost,woodelf,interventional,gpu,15,0,79,140.182
ames_housing,xgboost,woodelf,path_dependent,cpu,20,0,79,10.9714
ames_housing,xgboost,woodelf,interventional,cpu,20,0,79,10.9201
ames_housing,xgboost,woodelf,path_dependent,gpu,20,0,79,264.0107
ames_housing,xgboost,woodelf,interventional,gpu,20,0,79,240.4506
ames_housing,xgboost,woodelf,path_dependent,cpu,50,0,79,12.6561
ames_housing,xgboost,woodelf,interventional,cpu,50,0,79,12.2743
ames_housing,xgboost,woodelf,path_dependent,gpu,50,0,79,605.4852
ames_housing,xgboost,woodelf,interventional,gpu,50,0,79,612.5261
ames_housing,xgboost,woodelf,path_dependent,cpu,80,0,79,11.7465
ames_housing,xgboost,woodelf,interventional,cpu,80,0,79,11.112
ames_housing,xgboost,woodelf,path_dependent,gpu,80,0,79,608.7209
ames_housing,xgboost,woodelf,interventional,gpu,80,0,79,608.4606
ames_housing,lightgbm,woodelf,path_dependent,cpu,4,0,79,0.2189
ames_housing,lightgbm,woodelf,interventional,cpu,4,0,79,0.2726
ames_housing,lightgbm,woodelf,path_dependent,gpu,4,0,79,2.1981
ames_housing,lightgbm,woodelf,interventional,gpu,4,0,79,1.8468
ames_housing,lightgbm,woodelf,path_dependent,cpu,8,0,79,0.538
ames_housing,lightgbm,woodelf,interventional,cpu,8,0,79,0.628
ames_housing,lightgbm,woodelf,path_dependent,gpu,8,0,79,6.5175
ames_housing,lightgbm,woodelf,interventional,gpu,8,0,79,6.138
ames_housing,lightgbm,woodelf,path_dependent,cpu,12,0,79,0.6784
ames_housing,lightgbm,woodelf,interventional,cpu,12,0,79,1.0154
ames_housing,lightgbm,woodelf,path_dependent,gpu,12,0,79,8.8449
ames_housing,lightgbm,woodelf,interventional,gpu,12,0,79,8.7146
ames_housing,lightgbm,woodelf,path_dependent,cpu,15,0,79,0.8238
ames_housing,lightgbm,woodelf,interventional,cpu,15,0,79,0.9428
ames_housing,lightgbm,woodelf,path_dependent,gpu,15,0,79,12.3963
ames_housing,lightgbm,woodelf,interventional,gpu,15,0,79,12.204
ames_housing,lightgbm,woodelf,path_dependent,cpu,20,0,79,0.9817
ames_housing,lightgbm,woodelf,interventional,cpu,20,0,79,1.0746
ames_housing,lightgbm,woodelf,path_dependent,gpu,20,0,79,45.6633
ames_housing,lightgbm,woodelf,interventional,gpu,20,0,79,45.4267
ames_housing,lightgbm,woodelf,path_dependent,cpu,50,0,79,1.0034
ames_housing,lightgbm,woodelf,interventional,cpu,50,0,79,1.0858
ames_housing,lightgbm,woodelf,path_dependent,gpu,50,0,79,609.1079
ames_housing,lightgbm,woodelf,interventional,gpu,50,0,79,612.8595
ames_housing,lightgbm,woodelf,path_dependent,cpu,80,0,79,0.9849
ames_housing,lightgbm,woodelf,interventional,cpu,80,0,79,1.0792
ames_housing,lightgbm,woodelf,path_dependent,gpu,80,0,79,606.0468
ames_housing,lightgbm,woodelf,interventional,gpu,80,0,79,609.5106
ames_housing,random_forest,woodelf,path_dependent,cpu,4,0,79,0.3441
ames_housing,random_forest,woodelf,interventional,cpu,4,0,79,0.4414
ames_housing,random_forest,woodelf,path_dependent,gpu,4,0,79,4.2822
ames_housing,random_forest,woodelf,interventional,gpu,4,0,79,3.3155
ames_housing,random_forest,woodelf,path_dependent,cpu,8,0,79,4.2462
ames_housing,random_forest,woodelf,interventional,cpu,8,0,79,5.124
ames_housing,random_forest,woodelf,path_dependent,gpu,8,0,79,50.1454
ames_housing,random_forest,woodelf,interventional,gpu,8,0,79,52.5668
ames_housing,random_forest,woodelf,path_dependent,cpu,12,0,79,12.3735
ames_housing,random_forest,woodelf,interventional,cpu,12,0,79,20.3475
ames_housing,random_forest,woodelf,path_dependent,gpu,12,0,79,194.7757
ames_housing,random_forest,woodelf,interventional,gpu,12,0,79,202.3117
ames_housing,random_forest,woodelf,path_dependent,cpu,15,0,79,25.8734
ames_housing,random_forest,woodelf,interventional,cpu,15,0,79,29.0679
ames_housing,random_forest,woodelf,path_dependent,gpu,15,0,79,441.4302
ames_housing,random_forest,woodelf,interventional,gpu,15,0,79,435.1214
ames_housing,random_forest,woodelf,path_dependent,cpu,20,0,79,19.96
ames_housing,random_forest,woodelf,interventional,cpu,20,0,79,22.0652
ames_housing,random_forest,woodelf,path_dependent,gpu,20,0,79,387.5389
ames_housing,random_forest,woodelf,interventional,gpu,20,0,79,378.6711
ames_housing,random_forest,woodelf,path_dependent,cpu,50,0,79,18.2294
ames_housing,random_forest,woodelf,interventional,cpu,50,0,79,20.1051
ames_housing,random_forest,woodelf,path_dependent,gpu,50,0,79,605.5645
ames_housing,random_forest,woodelf,interventional,gpu,50,0,79,616.3706
ames_housing,random_forest,woodelf,path_dependent,cpu,80,0,79,18.6411
ames_housing,random_forest,woodelf,interventional,cpu,80,0,79,20.7995
ames_housing,random_forest,woodelf,path_dependent,gpu,80,0,79,609.8852
ames_housing,random_forest,woodelf,interventional,gpu,80,0,79,611.5654
bike,xgboost,woodelf,path_dependent,cpu,4,0,12,0.3198
bike,xgboost,woodelf,interventional,cpu,4,0,12,0.3865
bike,xgboost,woodelf,path_dependent,gpu,4,0,12,3.03
bike,xgboost,woodelf,interventional,gpu,4,0,12,3.0154
bike,xgboost,woodelf,path_dependent,cpu,8,0,12,2.8879
bike,xgboost,woodelf,interventional,cpu,8,0,12,3.5849
bike,xgboost,woodelf,path_dependent,gpu,8,0,12,31.9231
bike,xgboost,woodelf,interventional,gpu,8,0,12,33.6517
bike,xgboost,woodelf,path_dependent,cpu,12,0,12,14.5063
bike,xgboost,woodelf,interventional,cpu,12,0,12,18.4916
bike,xgboost,woodelf,path_dependent,gpu,12,0,12,187.2791
bike,xgboost,woodelf,interventional,gpu,12,0,12,194.9477
bike,xgboost,woodelf,path_dependent,cpu,15,0,12,12.8058
bike,xgboost,woodelf,interventional,cpu,15,0,12,16.7115
bike,xgboost,woodelf,path_dependent,gpu,15,0,12,171.226
bike,xgboost,woodelf,interventional,gpu,15,0,12,177.0089
bike,xgboost,woodelf,path_dependent,cpu,20,0,12,13.655
bike,xgboost,woodelf,interventional,cpu,20,0,12,17.835
bike,xgboost,woodelf,path_dependent,gpu,20,0,12,186.3481
bike,xgboost,woodelf,interventional,gpu,20,0,12,193.2543
bike,xgboost,woodelf,path_dependent,cpu,50,0,12,14.8368
bike,xgboost,woodelf,interventional,cpu,50,0,12,19.4192
bike,xgboost,woodelf,path_dependent,gpu,50,0,12,201.522
bike,xgboost,woodelf,interventional,gpu,50,0,12,209.5364
bike,xgboost,woodelf,path_dependent,cpu,80,0,12,13.3945
bike,xgboost,woodelf,interventional,cpu,80,0,12,17.922
bike,xgboost,woodelf,path_dependent,gpu,80,0,12,188.9659
bike,xgboost,woodelf,interventional,gpu,80,0,12,194.2425
bike,lightgbm,woodelf,path_dependent,cpu,4,0,12,0.2578
bike,lightgbm,woodelf,interventional,cpu,4,0,12,0.3298
bike,lightgbm,woodelf,path_dependent,gpu,4,0,12,2.4117
bike,lightgbm,woodelf,interventional,gpu,4,0,12,2.2637
bike,lightgbm,woodelf,path_dependent,cpu,8,0,12,0.6501
bike,lightgbm,woodelf,interventional,cpu,8,0,12,0.7853
bike,lightgbm,woodelf,path_dependent,gpu,8,0,12,6.8775
bike,lightgbm,woodelf,interventional,gpu,8,0,12,6.8424
bike,lightgbm,woodelf,path_dependent,cpu,12,0,12,0.8111
bike,lightgbm,woodelf,interventional,cpu,12,0,12,1.0231
bike,lightgbm,woodelf,path_dependent,gpu,12,0,12,8.2034
bike,lightgbm,woodelf,interventional,gpu,12,0,12,8.5338
bike,lightgbm,woodelf,path_dependent,cpu,15,0,12,0.8858
bike,lightgbm,woodelf,interventional,cpu,15,0,12,1.1153
bike,lightgbm,woodelf,path_dependent,gpu,15,0,12,9.1633
bike,lightgbm,woodelf,interventional,gpu,15,0,12,9.4498
bike,lightgbm,woodelf,path_dependent,cpu,20,0,12,0.7932
bike,lightgbm,woodelf,interventional,cpu,20,0,12,1.0032
bike,lightgbm,woodelf,path_dependent,gpu,20,0,12,8.1666
bike,lightgbm,woodelf,interventional,gpu,20,0,12,8.511
bike,lightgbm,woodelf,path_dependent,cpu,50,0,12,0.8113
bike,lightgbm,woodelf,interventional,cpu,50,0,12,1.024
bike,lightgbm,woodelf,path_dependent,gpu,50,0,12,8.3589
bike,lightgbm,woodelf,interventional,gpu,50,0,12,8.649
bike,lightgbm,woodelf,path_dependent,cpu,80,0,12,0.8058
bike,lightgbm,woodelf,interventional,cpu,80,0,12,1.0205
bike,lightgbm,woodelf,path_dependent,gpu,80,0,12,8.2367
bike,lightgbm,woodelf,interventional,gpu,80,0,12,8.4484
bike,random_forest,woodelf,path_dependent,cpu,4,0,12,0.3435
bike,random_forest,woodelf,interventional,cpu,4,0,12,0.4522
bike,random_forest,woodelf,path_dependent,gpu,4,0,12,3.1791
bike,random_forest,woodelf,interventional,gpu,4,0,12,3.2543
bike,random_forest,woodelf,path_dependent,cpu,8,0,12,4.4804
bike,random_forest,woodelf,interventional,cpu,8,0,12,5.6207
bike,random_forest,woodelf,path_dependent,gpu,8,0,12,50.287
bike,random_forest,woodelf,interventional,gpu,8,0,12,51.4214
bike,random_forest,woodelf,path_dependent,cpu,12,0,12,13.3364
bike,random_forest,woodelf,interventional,cpu,12,0,12,17.5043
bike,random_forest,woodelf,path_dependent,gpu,12,0,12,175.0327
bike,random_forest,woodelf,interventional,gpu,12,0,12,183.018
bike,random_forest,woodelf,path_dependent,cpu,15,0,12,14.7257
bike,random_forest,woodelf,interventional,cpu,15,0,12,19.7655
bike,random_forest,woodelf,path_dependent,gpu,15,0,12,194.3281
bike,random_forest,woodelf,interventional,gpu,15,0,12,206.1394
bike,random_forest,woodelf,path_dependent,cpu,20,0,12,15.4841
bike,random_forest,woodelf,interventional,cpu,20,0,12,20.5949
bike,random_forest,woodelf,path_dependent,gpu,20,0,12,213.5541
bike,random_forest,woodelf,interventional,gpu,20,0,12,225.1421
bike,random_forest,woodelf,path_dependent,cpu,50,0,12,17.0875
bike,random_forest,woodelf,interventional,cpu,50,0,12,22.6292
bike,random_forest,woodelf,path_dependent,gpu,50,0,12,224.9212
bike,random_forest,woodelf,interventional,gpu,50,0,12,235.8856
bike,random_forest,woodelf,path_dependent,cpu,80,0,12,15.7505
bike,random_forest,woodelf,interventional,cpu,80,0,12,21.1267
bike,random_forest,woodelf,path_dependent,gpu,80,0,12,215.0712
bike,random_forest,woodelf,interventional,gpu,80,0,12,225.554
diabetes_130,xgboost,woodelf,path_dependent,cpu,4,0,47,0.2257
diabetes_130,xgboost,woodelf,interventional,cpu,4,0,47,0.2766
diabetes_130,xgboost,woodelf,path_dependent,gpu,4,0,47,2.282
diabetes_130,xgboost,woodelf,interventional,gpu,4,0,47,2.219
diabetes_130,xgboost,woodelf,path_dependent,cpu,8,0,47,0.6548
diabetes_130,xgboost,woodelf,interventional,cpu,8,0,47,0.7514
diabetes_130,xgboost,woodelf,path_dependent,gpu,8,0,47,8.2083
diabetes_130,xgboost,woodelf,interventional,gpu,8,0,47,7.689
diabetes_130,xgboost,woodelf,path_dependent,cpu,12,0,47,0.6555
diabetes_130,xgboost,woodelf,interventional,cpu,12,0,47,0.8774
diabetes_130,xgboost,woodelf,path_dependent,gpu,12,0,47,8.5977
diabetes_130,xgboost,woodelf,interventional,gpu,12,0,47,8.8851
diabetes_130,xgboost,woodelf,path_dependent,cpu,15,0,47,0.6847
diabetes_130,xgboost,woodelf,interventional,cpu,15,0,47,0.8661
diabetes_130,xgboost,woodelf,path_dependent,gpu,15,0,47,10.1101
diabetes_130,xgboost,woodelf,interventional,gpu,15,0,47,10.1777
diabetes_130,xgboost,woodelf,path_dependent,cpu,20,0,47,0.6762
diabetes_130,xgboost,woodelf,interventional,cpu,20,0,47,0.8491
diabetes_130,xgboost,woodelf,path_dependent,gpu,20,0,47,12.6175
diabetes_130,xgboost,woodelf,interventional,gpu,20,0,47,12.3277
diabetes_130,xgboost,woodelf,path_dependent,cpu,50,0,47,0.6777
diabetes_130,xgboost,woodelf,interventional,cpu,50,0,47,0.842
diabetes_130,xgboost,woodelf,path_dependent,gpu,50,0,47,12.2959
diabetes_130,xgboost,woodelf,interventional,gpu,50,0,47,12.1483
diabetes_130,xgboost,woodelf,path_dependent,cpu,80,0,47,0.7184
diabetes_130,xgboost,woodelf,interventional,cpu,80,0,47,0.9149
diabetes_130,xgboost,woodelf,path_dependent,gpu,80,0,47,13.2822
diabetes_130,xgboost,woodelf,interventional,gpu,80,0,47,12.9745
diabetes_130,lightgbm,woodelf,path_dependent,cpu,4,0,47,0.2357
diabetes_130,lightgbm,woodelf,interventional,cpu,4,0,47,0.288
diabetes_130,lightgbm,woodelf,path_dependent,gpu,4,0,47,2.8104
diabetes_130,lightgbm,woodelf,interventional,gpu,4,0,47,2.1684
diabetes_130,lightgbm,woodelf,path_dependent,cpu,8,0,47,0.6723
diabetes_130,lightgbm,woodelf,interventional,cpu,8,0,47,0.7937
diabetes_130,lightgbm,woodelf,path_dependent,gpu,8,0,47,7.213
diabetes_130,lightgbm,woodelf,interventional,gpu,8,0,47,7.3567
diabetes_130,lightgbm,woodelf,path_dependent,cpu,12,0,47,0.8342
diabetes_130,lightgbm,woodelf,interventional,cpu,12,0,47,1.1256
diabetes_130,lightgbm,woodelf,path_dependent,gpu,12,0,47,10.0962
diabetes_130,lightgbm,woodelf,interventional,gpu,12,0,47,10.3708
diabetes_130,lightgbm,woodelf,path_dependent,cpu,15,0,47,0.9599
diabetes_130,lightgbm,woodelf,interventional,cpu,15,0,47,1.166
diabetes_130,lightgbm,woodelf,path_dependent,gpu,15,0,47,12.8415
diabetes_130,lightgbm,woodelf,interventional,gpu,15,0,47,12.762
diabetes_130,lightgbm,woodelf,path_dependent,cpu,20,0,47,0.8794
diabetes_130,lightgbm,woodelf,interventional,cpu,20,0,47,1.0506
diabetes_130,lightgbm,woodelf,path_dependent,gpu,20,0,47,40.838
diabetes_130,lightgbm,woodelf,interventional,gpu,20,0,47,41.2636
diabetes_130,lightgbm,woodelf,path_dependent,cpu,50,0,47,0.8558
diabetes_130,lightgbm,woodelf,interventional,cpu,50,0,47,1.0246
diabetes_130,lightgbm,woodelf,path_dependent,gpu,50,0,47,77.3503
diabetes_130,lightgbm,woodelf,interventional,gpu,50,0,47,73.5617
diabetes_130,lightgbm,woodelf,path_dependent,cpu,80,0,47,0.9324
diabetes_130,lightgbm,woodelf,interventional,cpu,80,0,47,1.1178
diabetes_130,lightgbm,woodelf,path_dependent,gpu,80,0,47,79.6938
diabetes_130,lightgbm,woodelf,interventional,gpu,80,0,47,76.1607
diabetes_130,random_forest,woodelf,path_dependent,cpu,4,0,47,0.2386
diabetes_130,random_forest,woodelf,interventional,cpu,4,0,47,0.3016
diabetes_130,random_forest,woodelf,path_dependent,gpu,4,0,47,3.1357
diabetes_130,random_forest,woodelf,interventional,gpu,4,0,47,2.4163
diabetes_130,random_forest,woodelf,path_dependent,cpu,8,0,47,1.1993
diabetes_130,random_forest,woodelf,interventional,cpu,8,0,47,1.4037
diabetes_130,random_forest,woodelf,path_dependent,gpu,8,0,47,14.6622
diabetes_130,random_forest,woodelf,interventional,gpu,8,0,47,14.9155
diabetes_130,random_forest,woodelf,path_dependent,cpu,12,0,47,2.3467
diabetes_130,random_forest,woodelf,interventional,cpu,12,0,47,3.8762
