dataset,model,library,approximator,budget,method,device,imputer,n_background,n_eval,n_features,seed_count,runtime_median,runtime_q25,runtime_q75,relative_mae_median,relative_mae_q25,relative_mae_q75,rho_median,rho_q25,rho_q75,gap_mean,gap_median,gap_q25,gap_q75,sign_agreement_median
ames_housing,cnn_1d,captum,deep_lift_shap,512,captum / deep_lift_shap,cpu,marginal,100,10,79,10,0.14765,0.144375,0.1523,0.05143783302483183,0.04954089219840205,0.0532014994969201,0.9965872307652827,0.9964000766974587,0.9971017036874834,4.3255388780660577e-07,3.9222555892194845e-07,3.318212231737917e-07,4.897291856399051e-07,0.9912734429642642
ames_housing,cnn_1d,captum,gradient_shap,512,captum / gradient_shap,cpu,marginal,100,10,79,10,0.18585000000000002,0.181625,0.188925,0.05143783302483183,0.04954089219840205,0.0532014994969201,0.9965872307652827,0.9964000766974587,0.9971017036874834,0.04455488069619022,0.04265402886131525,0.03568567244365582,0.047387279647081476,0.9912734429642642
ames_housing,cnn_1d,dalex,permutation,512,dalex / permutation,cpu,marginal,100,10,79,10,2.48285,2.4412499999999997,2.536925,0.059128383190004845,0.05689789644348674,0.06911765350665237,0.9963416461966441,0.9958519940051582,0.9968282898706391,2.121355235847338e-06,2.3307145118569816e-06,1.7243678155186484e-06,2.6762011690866885e-06,0.9906099865047233
ames_housing,cnn_1d,lightshap,kernel,512,lightshap / kernel,cpu,marginal,100,10,79,10,1047.58365,1036.369425,1060.6064000000001,0.05678598102704712,0.05541624654373475,0.0602534371813235,0.9963766091873952,0.9963009968710459,0.9967412607937289,1.2608002173213496e-06,1.1682365431360015e-06,7.155271531927031e-07,1.8550526991784098e-06,0.9907878787878788
ames_housing,cnn_1d,lightshap,permutation,512,lightshap / permutation,cpu,marginal,100,10,79,10,1038.4319,1025.681425,1047.186725,0.05673916753391183,0.055416645861806196,0.060225852059850454,0.9964081426938916,0.9963094810369819,0.9967747448786384,1.2608002172281954e-06,1.168236543019762e-06,7.155271532178093e-07,1.855052699027705e-06,0.9907878787878788
ames_housing,cnn_1d,shap,deep,512,shap / deep,cpu,marginal,100,10,79,10,0.09465,0.08987500000000001,0.101825,0.05143782485628003,0.04954089566164187,0.05320150775067419,0.9965872307652827,0.9964000766974587,0.9971017036874834,3.768096497875956e-07,4.043486988767149e-07,2.9828639142053925e-07,4.258853958113759e-07,0.9912734429642642
ames_housing,cnn_1d,shap,gradient,512,shap / gradient,cpu,marginal,100,10,79,10,0.398,0.386525,0.4025,0.07300327546410804,0.07183973266318915,0.07501029248480218,0.9939433077531481,0.9936721115196987,0.9945500452031638,0.04561975682717982,0.038216506219177396,0.036182787200315904,0.05712778192549165,0.9905875719080228
ames_housing,cnn_1d,shapiq,kernel,512,shapiq / kernel,cpu,marginal,100,10,79,10,3.9330999999999996,3.9217999999999997,3.944325,0.06534523896066996,0.05942056929314362,0.0759824762819701,0.9952779463031743,0.994059577834217,0.9961567615757264,1.2673948612777474e-06,1.1682754824117856e-06,7.154978102497253e-07,1.8551682591745995e-06,0.9874336190125663
ames_housing,cnn_1d,shapiq,permutation,512,shapiq / permutation,cpu,marginal,100,10,79,10,2.23845,2.161075,2.85725,0.05959575835836542,0.05603943327740706,0.06730842880959308,0.996317380217529,0.995970297054873,0.996841843715134,1.3021837325179897e-06,1.3375970379602271e-06,7.159848902160292e-07,1.8550526991295036e-06,0.9907280701754386
ames_housing,cnn_1d,shapiq_proxy,proxy,512,shapiq / proxyShap,cpu,marginal,100,10,79,10,4.0523,4.030825,4.0595,0.7075577513777098,0.7002711181367768,0.7385305155272401,0.9259705051389908,0.9252667551861812,0.9274553141664994,1.259987361356764e-06,1.1805696106542403e-06,6.790833026183882e-07,1.85585819696004e-06,0.9032253311143471
