source_backend,target_backend,cell_count,relative_mae_median,relative_mae_max,rho_median,rho_min,sign_agreement_median
dalex_true_value,lightshap_exact,200,0.03196691908542676,0.12565654118798467,0.9958041958041959,0.955944055944056,0.9916666666666667
dalex_true_value,shap_true_value,200,0.03196691908542708,0.12565654118798567,0.9958041958041959,0.9557678519132328,0.9916666666666667
dalex_true_value,shapiq_true_value,200,0.031967008560378235,0.12565652966214408,0.9958041958041959,0.9552447552447554,0.9916666666666667
lightshap_exact,dalex_true_value,200,0.03196691908542676,0.12565654118798467,0.9958041958041959,0.955944055944056,0.9916666666666667
lightshap_exact,shap_true_value,200,6.914389819244816e-15,1.9239761628063437e-14,1.0,0.9972027972027974,1.0
lightshap_exact,shapiq_true_value,200,4.6664159273992167e-07,1.3356378537518798e-06,1.0,0.995804195804196,1.0
shap_true_value,dalex_true_value,200,0.03196691908542708,0.12565654118798567,0.9958041958041959,0.9557678519132328,0.9916666666666667
shap_true_value,lightshap_exact,200,6.914389819244816e-15,1.9239761628063437e-14,1.0,0.9972027972027974,1.0
shap_true_value,shapiq_true_value,200,4.666415934009903e-07,1.3356378549075395e-06,1.0,0.9958041958041959,1.0
shapiq_true_value,dalex_true_value,200,0.031967008560378235,0.12565652966214408,0.9958041958041959,0.9552447552447554,0.9916666666666667
shapiq_true_value,lightshap_exact,200,4.6664159273992167e-07,1.3356378537518798e-06,1.0,0.995804195804196,1.0
shapiq_true_value,shap_true_value,200,4.666415934009903e-07,1.3356378549075395e-06,1.0,0.9958041958041959,1.0
