dataset,model,library,approximator,device,seed,n_features,runtime_s,relative_additivity_gap,mean_sample_rho,relative_mae,sign_agreement,method
gisette,cnn_1d,captum,deep_lift_shap,gpu,6,100,0.0429,0.0353235134209074,0.990041404140414,0.04658014031438586,0.998,captum / deep_lift_shap
ames_housing,mlp,captum,gradient_shap,gpu,6,79,0.1052,0.0605859027246606,0.9920136643033782,0.08172327891016824,0.9662618083670715,captum / gradient_shap
ames_housing,mlp,captum,deep_lift_shap,gpu,6,79,0.0376,1.9794119468125097e-07,0.9920136643033782,0.08172327891016824,0.9662618083670715,captum / deep_lift_shap
ames_housing,transformer,captum,gradient_shap,gpu,6,79,0.1106,,,,,captum / gradient_shap
ames_housing,transformer,captum,deep_lift_shap,gpu,6,79,0.2666,0.6699957386009694,0.6353799022822398,1.038831184433886,0.7368421052631579,captum / deep_lift_shap
ames_housing,cnn_1d,captum,gradient_shap,gpu,6,79,0.1054,0.0354294737710687,0.997260791182194,0.04479829512210744,0.9959514170040485,captum / gradient_shap
ames_housing,cnn_1d,captum,deep_lift_shap,gpu,6,79,0.0307,7.287016407048272e-07,0.997260791182194,0.04479829512210744,0.9959514170040485,captum / deep_lift_shap
bike,mlp,captum,gradient_shap,gpu,6,12,0.1091,0.0385546302652517,0.993006993006993,0.05946783486332546,0.975,captum / gradient_shap
bike,mlp,captum,deep_lift_shap,gpu,6,12,0.038,1.7610596134877004e-07,0.993006993006993,0.05946783486332546,0.975,captum / deep_lift_shap
bike,transformer,captum,gradient_shap,gpu,6,12,0.1726,0.031971754528037,0.520979020979021,0.988544851016604,0.7083333333333334,captum / gradient_shap
bike,transformer,captum,deep_lift_shap,gpu,6,12,0.0508,0.6511257577518317,0.520979020979021,0.988544851016604,0.7083333333333334,captum / deep_lift_shap
bike,cnn_1d,captum,gradient_shap,gpu,6,12,0.1069,0.0347846237778297,0.990909090909091,0.03546865075259743,1.0,captum / gradient_shap
bike,cnn_1d,captum,deep_lift_shap,gpu,6,12,0.04,2.1803460914225653e-07,0.990909090909091,0.03546865075259743,1.0,captum / deep_lift_shap
diabetes_130,mlp,captum,gradient_shap,gpu,6,47,0.1121,0.1544209760566759,0.9532331809274984,0.4781536125097975,0.9666666666666667,captum / gradient_shap
diabetes_130,mlp,captum,deep_lift_shap,gpu,6,47,0.0484,0.7735643759228332,0.9532331809274984,0.4781536125097975,0.9666666666666667,captum / deep_lift_shap
diabetes_130,transformer,captum,gradient_shap,gpu,6,47,0.1246,,,,,captum / gradient_shap
diabetes_130,transformer,captum,deep_lift_shap,gpu,6,47,0.1202,1.920526002227513,0.7627813075233063,0.7031111449867273,0.806060606060606,captum / deep_lift_shap
diabetes_130,cnn_1d,captum,gradient_shap,gpu,6,47,0.1091,0.1074697288031154,0.9866041208954339,0.20309701401373242,0.9939393939393939,captum / gradient_shap
diabetes_130,cnn_1d,captum,deep_lift_shap,gpu,6,47,0.03,0.3028498118454947,0.9866041208954339,0.20309701401373242,0.9939393939393939,captum / deep_lift_shap
covertype,mlp,captum,gradient_shap,gpu,6,54,0.1134,0.0561409842528638,0.8809390170722787,0.3882540635356636,0.9,captum / gradient_shap
covertype,mlp,captum,deep_lift_shap,gpu,6,54,0.0408,0.355736777081785,0.8809390170722787,0.3882540635356636,0.9,captum / deep_lift_shap
covertype,transformer,captum,gradient_shap,gpu,6,54,0.1382,,,,,captum / gradient_shap
covertype,transformer,captum,deep_lift_shap,gpu,6,54,0.1349,1.055536027910148,0.4699638403215068,1.2816779848812907,0.7099697885196374,captum / deep_lift_shap
covertype,cnn_1d,captum,gradient_shap,gpu,6,54,0.108,0.0573948873792813,0.9821421187640971,0.11389457526720333,0.9939393939393939,captum / gradient_shap
covertype,cnn_1d,captum,deep_lift_shap,gpu,6,54,0.0308,0.1151792503038509,0.9821421187640971,0.11389457526720333,0.9939393939393939,captum / deep_lift_shap
gisette,mlp,captum,gradient_shap,gpu,7,100,0.1157,0.0442509900967615,0.9894761476147614,0.8104442179909827,0.966,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,gpu,7,100,0.0468,0.7818553949427166,0.9894761476147614,0.8104442179909827,0.966,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,gpu,7,100,0.2369,,,,,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,gpu,7,100,0.1722,,,,,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,gpu,7,100,0.11,0.0530729816771103,0.9949354935493548,0.038995565810836345,0.998,captum / gradient_shap
gisette,cnn_1d,captum,deep_lift_shap,gpu,7,100,0.033,0.0108386052671611,0.9949354935493548,0.038995565810836345,0.998,captum / deep_lift_shap
ames_housing,mlp,captum,gradient_shap,gpu,7,79,0.1075,0.0753305330720666,0.9886709809610567,0.08666246358322216,0.9635627530364372,captum / gradient_shap
ames_housing,mlp,captum,deep_lift_shap,gpu,7,79,0.0374,1.1039069742462609e-07,0.9886709809610567,0.08666246358322216,0.9635627530364372,captum / deep_lift_shap
ames_housing,transformer,captum,gradient_shap,gpu,7,79,0.1058,,,,,captum / gradient_shap
ames_housing,transformer,captum,deep_lift_shap,gpu,7,79,0.2721,0.5013062001065386,0.8002613485489569,0.7627694588250374,0.7773279352226721,captum / deep_lift_shap
ames_housing,cnn_1d,captum,gradient_shap,gpu,7,79,0.1051,0.0427347013368418,0.9966271116908739,0.05576196359890758,0.9918918918918919,captum / gradient_shap
ames_housing,cnn_1d,captum,deep_lift_shap,gpu,7,79,0.0306,1.6464793697155797e-07,0.9966271116908739,0.05576196359890758,0.9918918918918919,captum / deep_lift_shap
bike,mlp,captum,gradient_shap,gpu,7,12,0.1046,0.0393758083325875,0.9937062937062938,0.06743400032410601,0.9583333333333334,captum / gradient_shap
bike,mlp,captum,deep_lift_shap,gpu,7,12,0.0398,6.253556182000437e-08,0.9937062937062938,0.06743400032410601,0.9583333333333334,captum / deep_lift_shap
bike,transformer,captum,gradient_shap,gpu,7,12,0.1716,0.0759423962317723,0.4237762237762238,1.0852293092944771,0.7,captum / gradient_shap
bike,transformer,captum,deep_lift_shap,gpu,7,12,0.0525,0.8795878292115826,0.4237762237762238,1.0852293092944771,0.7,captum / deep_lift_shap
bike,cnn_1d,captum,gradient_shap,gpu,7,12,0.1057,0.0337720022612705,0.9937062937062937,0.0369623981731302,0.9916666666666667,captum / gradient_shap
bike,cnn_1d,captum,deep_lift_shap,gpu,7,12,0.0337,1.182240567010218e-07,0.9937062937062937,0.0369623981731302,0.9916666666666667,captum / deep_lift_shap
diabetes_130,mlp,captum,gradient_shap,gpu,7,47,0.1214,0.1050144661019022,0.9673891099103379,0.3201481342045786,0.9727272727272728,captum / gradient_shap
diabetes_130,mlp,captum,deep_lift_shap,gpu,7,47,0.0451,0.8684441495569624,0.9673891099103379,0.3201481342045786,0.9727272727272728,captum / deep_lift_shap
diabetes_130,transformer,captum,gradient_shap,gpu,7,47,0.1291,,,,,captum / gradient_shap
diabetes_130,transformer,captum,deep_lift_shap,gpu,7,47,0.1091,0.8372622999167224,0.6742236209251233,1.107059043912615,0.806060606060606,captum / deep_lift_shap
diabetes_130,cnn_1d,captum,gradient_shap,gpu,7,47,0.1075,0.1705014218931329,0.9802030758268513,0.19859453032681962,0.9787878787878788,captum / gradient_shap
diabetes_130,cnn_1d,captum,deep_lift_shap,gpu,7,47,0.0297,0.2004840296867517,0.9802030758268513,0.19859453032681962,0.9787878787878788,captum / deep_lift_shap
covertype,mlp,captum,gradient_shap,gpu,7,54,0.1097,0.0347300813320138,0.9158247471703186,0.2678579402791994,0.9266304347826086,captum / gradient_shap
covertype,mlp,captum,deep_lift_shap,gpu,7,54,0.0408,0.1706707672545593,0.9158247471703186,0.2678579402791994,0.9266304347826086,captum / deep_lift_shap
covertype,transformer,captum,gradient_shap,gpu,7,54,0.1744,,,,,captum / gradient_shap
covertype,transformer,captum,deep_lift_shap,gpu,7,54,0.1199,0.6064483517402054,0.47194875427376937,0.9385123935711763,0.7046070460704607,captum / deep_lift_shap
covertype,cnn_1d,captum,gradient_shap,gpu,7,54,0.1233,0.0955314725985984,0.9298870923325074,0.20789566729775405,0.981081081081081,captum / gradient_shap
covertype,cnn_1d,captum,deep_lift_shap,gpu,7,54,0.0378,0.4717457776446944,0.9298870923325074,0.20789566729775405,0.981081081081081,captum / deep_lift_shap
gisette,mlp,captum,gradient_shap,gpu,8,100,0.1096,0.0605244930610031,0.9867662766276627,0.816916900357133,0.958,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,gpu,8,100,0.0402,0.7966570408724052,0.9867662766276627,0.816916900357133,0.958,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,gpu,8,100,0.1161,,,,,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,gpu,8,100,0.1115,,,,,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,gpu,8,100,0.1192,0.0375033945443005,0.9934317431743173,0.045349329440378235,0.997,captum / gradient_shap
gisette,cnn_1d,captum,deep_lift_shap,gpu,8,100,0.0458,0.0115934872703068,0.9934317431743173,0.045349329440378235,0.997,captum / deep_lift_shap
ames_housing,mlp,captum,gradient_shap,gpu,8,79,0.1188,0.0544633442353891,0.992019482496195,0.07378184389175303,0.9780821917808219,captum / gradient_shap
ames_housing,mlp,captum,deep_lift_shap,gpu,8,79,0.0367,1.665451189546847e-07,0.992019482496195,0.07378184389175303,0.9780821917808219,captum / deep_lift_shap
ames_housing,transformer,captum,gradient_shap,gpu,8,79,0.1274,,,,,captum / gradient_shap
ames_housing,transformer,captum,deep_lift_shap,gpu,8,79,0.2022,0.7612357589101862,0.7404030441400306,0.8656560903079003,0.7945205479452054,captum / deep_lift_shap
ames_housing,cnn_1d,captum,gradient_shap,gpu,8,79,0.1409,0.0629247492851335,0.9964882800608829,0.05333244382450309,0.9849315068493151,captum / gradient_shap
ames_housing,cnn_1d,captum,deep_lift_shap,gpu,8,79,0.0304,5.98134528462479e-07,0.9964882800608829,0.05333244382450309,0.9849315068493151,captum / deep_lift_shap
bike,mlp,captum,gradient_shap,gpu,8,12,0.1091,0.1023579348790922,0.9916083916083916,0.06855533987084497,0.9818181818181818,captum / gradient_shap
bike,mlp,captum,deep_lift_shap,gpu,8,12,0.0343,8.846023760416787e-08,0.9916083916083916,0.06855533987084497,0.9818181818181818,captum / deep_lift_shap
bike,transformer,captum,gradient_shap,gpu,8,12,0.1743,0.1455216036632091,0.555944055944056,1.1831384441609216,0.7636363636363637,captum / gradient_shap
bike,transformer,captum,deep_lift_shap,gpu,8,12,0.0538,1.5910597326223868,0.555944055944056,1.1831384441609216,0.7636363636363637,captum / deep_lift_shap
bike,cnn_1d,captum,gradient_shap,gpu,8,12,0.1164,0.0571688802334281,0.9888111888111888,0.04544574477528575,0.9818181818181818,captum / gradient_shap
bike,cnn_1d,captum,deep_lift_shap,gpu,8,12,0.044,7.032279401540703e-08,0.9888111888111888,0.04544574477528575,0.9818181818181818,captum / deep_lift_shap
diabetes_130,mlp,captum,gradient_shap,gpu,8,47,0.1,0.1389754267600973,0.9380463028584929,0.39240252006624887,0.9058823529411765,captum / gradient_shap
diabetes_130,mlp,captum,deep_lift_shap,gpu,8,47,0.0321,0.6939953236577224,0.9380463028584929,0.39240252006624887,0.9058823529411765,captum / deep_lift_shap
diabetes_130,transformer,captum,gradient_shap,gpu,8,47,0.1099,,,,,captum / gradient_shap
diabetes_130,transformer,captum,deep_lift_shap,gpu,8,47,0.1078,0.4779891186093679,0.7854122371840303,0.9314712654894696,0.8264705882352941,captum / deep_lift_shap
diabetes_130,cnn_1d,captum,gradient_shap,gpu,8,47,0.1109,0.0785692599729736,0.967434443656981,0.2210080722008381,0.9823529411764705,captum / gradient_shap
diabetes_130,cnn_1d,captum,deep_lift_shap,gpu,8,47,0.0373,0.2230033391637144,0.967434443656981,0.2210080722008381,0.9823529411764705,captum / deep_lift_shap
covertype,mlp,captum,gradient_shap,gpu,8,54,0.1122,0.0528027703621277,0.9144042261788299,0.37504753993507284,0.9105263157894737,captum / gradient_shap
covertype,mlp,captum,deep_lift_shap,gpu,8,54,0.0413,0.3099772723958698,0.9144042261788299,0.37504753993507284,0.9105263157894737,captum / deep_lift_shap
covertype,transformer,captum,gradient_shap,gpu,8,54,0.141,,,,,captum / gradient_shap
covertype,transformer,captum,deep_lift_shap,gpu,8,54,0.1345,0.9898141505911155,0.5373606782721895,1.3261101299899611,0.7361477572559367,captum / deep_lift_shap
covertype,cnn_1d,captum,gradient_shap,gpu,8,54,0.1084,0.1462546357423124,0.9604102473870999,0.15400357561382064,0.9947089947089947,captum / gradient_shap
covertype,cnn_1d,captum,deep_lift_shap,gpu,8,54,0.0283,0.322747776849382,0.9604102473870999,0.15400357561382064,0.9947089947089947,captum / deep_lift_shap
gisette,mlp,captum,gradient_shap,gpu,9,100,0.1125,0.0458869199231074,0.984928892889289,0.8045207302216565,0.955,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,gpu,9,100,0.0459,0.8214480007151701,0.984928892889289,0.8045207302216565,0.955,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,gpu,9,100,0.1374,,,,,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,gpu,9,100,0.1315,,,,,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,gpu,9,100,0.1077,0.0464838071373361,0.9947314731473147,0.07806145532372608,0.983,captum / gradient_shap
gisette,cnn_1d,captum,deep_lift_shap,gpu,9,100,0.0347,0.0016762194310021,0.9947314731473147,0.07806145532372608,0.983,captum / deep_lift_shap
ames_housing,mlp,captum,gradient_shap,gpu,9,79,0.1083,0.0662793332760371,0.9898729246798773,0.08847301005399148,0.9671052631578947,captum / gradient_shap
ames_housing,mlp,captum,deep_lift_shap,gpu,9,79,0.0366,1.0813618194955529e-07,0.9898729246798773,0.08847301005399148,0.9671052631578947,captum / deep_lift_shap
ames_housing,transformer,captum,gradient_shap,gpu,9,79,0.1117,,,,,captum / gradient_shap
ames_housing,transformer,captum,deep_lift_shap,gpu,9,79,0.2662,0.5361045587723142,0.7765494912118408,0.7141073731159123,0.7763157894736842,captum / deep_lift_shap
ames_housing,cnn_1d,captum,gradient_shap,gpu,9,79,0.1117,0.0267968516626947,0.9960647876537962,0.053106602392184045,0.994729907773386,captum / gradient_shap
ames_housing,cnn_1d,captum,deep_lift_shap,gpu,9,79,0.0377,2.532935336018357e-07,0.9960647876537962,0.053106602392184045,0.994729907773386,captum / deep_lift_shap
bike,mlp,captum,gradient_shap,gpu,9,12,0.1095,0.0510677951266504,0.995804195804196,0.06926845073385796,0.975,captum / gradient_shap
bike,mlp,captum,deep_lift_shap,gpu,9,12,0.0397,1.0672098031199864e-07,0.995804195804196,0.06926845073385796,0.975,captum / deep_lift_shap
bike,transformer,captum,gradient_shap,gpu,9,12,0.1733,0.0727474117386092,0.6153846153846153,0.8771524388386769,0.7833333333333333,captum / gradient_shap
bike,transformer,captum,deep_lift_shap,gpu,9,12,0.0501,1.1907693073170502,0.6153846153846153,0.8771524388386769,0.7833333333333333,captum / deep_lift_shap
bike,cnn_1d,captum,gradient_shap,gpu,9,12,0.1146,0.0553302843481387,0.9965034965034967,0.04535928825534693,1.0,captum / gradient_shap
bike,cnn_1d,captum,deep_lift_shap,gpu,9,12,0.0435,1.5771330942744428e-07,0.9965034965034967,0.04535928825534693,1.0,captum / deep_lift_shap
diabetes_130,mlp,captum,gradient_shap,gpu,9,47,0.1573,0.1991337643307152,0.9759515468202602,0.3362213849855213,0.9818181818181818,captum / gradient_shap
diabetes_130,mlp,captum,deep_lift_shap,gpu,9,47,0.0479,0.6005057832899879,0.9759515468202602,0.3362213849855213,0.9818181818181818,captum / deep_lift_shap
diabetes_130,transformer,captum,gradient_shap,gpu,9,47,0.1235,,,,,captum / gradient_shap
diabetes_130,transformer,captum,deep_lift_shap,gpu,9,47,0.1211,0.4914363267808171,0.8248797577341014,0.7404301885509048,0.8727272727272727,captum / deep_lift_shap
diabetes_130,cnn_1d,captum,gradient_shap,gpu,9,47,0.1556,0.1240980349684737,0.9777922926192032,0.1701259076839362,0.9787878787878788,captum / gradient_shap
diabetes_130,cnn_1d,captum,deep_lift_shap,gpu,9,47,0.0363,0.2256420359549033,0.9777922926192032,0.1701259076839362,0.9787878787878788,captum / deep_lift_shap
covertype,mlp,captum,gradient_shap,gpu,9,54,0.1025,0.0241495927262772,0.8628628789399718,0.5123622508918165,0.8764705882352941,captum / gradient_shap
covertype,mlp,captum,deep_lift_shap,gpu,9,54,0.0342,0.4465309242920309,0.8628628789399718,0.5123622508918165,0.8764705882352941,captum / deep_lift_shap
covertype,transformer,captum,gradient_shap,gpu,9,54,0.1406,,,,,captum / gradient_shap
covertype,transformer,captum,deep_lift_shap,gpu,9,54,0.137,0.840624127607334,0.4327243525396507,1.1016102738640001,0.6823529411764706,captum / deep_lift_shap
covertype,cnn_1d,captum,gradient_shap,gpu,9,54,0.1187,0.0963607877845125,0.9563541457538646,0.18471014500554908,0.9794117647058823,captum / gradient_shap
covertype,cnn_1d,captum,deep_lift_shap,gpu,9,54,0.0373,0.1673233027588549,0.9563541457538646,0.18471014500554908,0.9794117647058823,captum / deep_lift_shap
gisette,mlp,captum,gradient_shap,cpu,0,100,0.066,0.0385931172750767,0.995107110711071,0.11748326482602227,0.971,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,cpu,0,100,0.0205,0.8420757758155579,0.9818481848184817,0.9520725949874611,0.94,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,cpu,0,100,13.6706,0.0778759952494332,0.09951875187518752,1.8976673614549726,0.531,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,cpu,0,100,5.1405,1.162333587319801,0.09951875187518752,1.8976673614549726,0.531,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,cpu,0,100,0.2302,0.0525625235117196,0.9885148514851485,0.055008595316856444,0.99,captum / gradient_shap
gisette,cnn_1d,captum,deep_lift_shap,cpu,0,100,0.1942,0.0088087454910091,0.9929672967296728,0.03894235411137654,0.996,captum / deep_lift_shap
ames_housing,mlp,captum,gradient_shap,cpu,0,79,0.0747,0.0888530087106859,0.9920398252169574,0.09006255834800751,0.974025974025974,captum / gradient_shap
ames_housing,mlp,captum,deep_lift_shap,cpu,0,79,0.0193,8.32678040972988e-08,0.9921371973855575,0.08128305169355862,0.9753246753246754,captum / deep_lift_shap
ames_housing,transformer,captum,gradient_shap,cpu,0,79,11.0184,0.0410961597775994,0.824732818135342,0.5968080012615712,0.7958387516254877,captum / gradient_shap
ames_housing,transformer,captum,deep_lift_shap,cpu,0,79,4.1867,0.5664162470727304,0.9659763049903927,0.2127836014295252,0.9557867360208062,captum / deep_lift_shap
ames_housing,cnn_1d,captum,gradient_shap,cpu,0,79,0.2254,0.0443600696358234,0.9921986487945812,0.08104599121493725,0.9817945383615084,captum / gradient_shap
ames_housing,cnn_1d,captum,deep_lift_shap,cpu,0,79,0.1521,4.201002863403552e-07,0.996057026397642,0.05545122529057033,0.9843953185955787,captum / deep_lift_shap
bike,mlp,captum,gradient_shap,cpu,0,12,0.0726,0.0619372043611746,0.9951048951048952,0.04822498883572515,0.975,captum / gradient_shap
bike,mlp,captum,deep_lift_shap,cpu,0,12,0.0195,1.3483439905524946e-07,0.9944055944055945,0.05335276982448994,0.9666666666666667,captum / deep_lift_shap
bike,transformer,captum,gradient_shap,cpu,0,12,1.5642,0.0379583048712899,0.8986013986013986,0.27119840092952546,0.8166666666666667,captum / gradient_shap
bike,transformer,captum,deep_lift_shap,cpu,0,12,0.587,1.417973256736296,0.5923076923076924,1.143734801265655,0.7083333333333334,captum / deep_lift_shap
bike,cnn_1d,captum,gradient_shap,cpu,0,12,0.1304,0.1088725096768667,0.9881118881118882,0.062107860848446425,1.0,captum / gradient_shap
bike,cnn_1d,captum,deep_lift_shap,cpu,0,12,0.0639,2.1157280588757524e-07,0.9951048951048952,0.03969991382473175,1.0,captum / deep_lift_shap
diabetes_130,mlp,captum,gradient_shap,cpu,0,47,0.0673,0.1736907816565103,0.9582456978967494,0.11368604842427604,0.940625,captum / gradient_shap
diabetes_130,mlp,captum,deep_lift_shap,cpu,0,47,0.0168,0.6294949333373457,0.964041586998088,0.30917528369328756,0.95,captum / deep_lift_shap
diabetes_130,transformer,captum,gradient_shap,cpu,0,47,6.5181,0.0571140836362999,0.760336998087954,0.7278662619411508,0.828125,captum / gradient_shap
diabetes_130,transformer,captum,deep_lift_shap,cpu,0,47,2.3393,0.3612704156584924,0.8972394837476099,0.5931117658526148,0.9,captum / deep_lift_shap
diabetes_130,cnn_1d,captum,gradient_shap,cpu,0,47,0.1738,0.1060564594893068,0.981238049713193,0.11447767571358122,0.99375,captum / gradient_shap
diabetes_130,cnn_1d,captum,deep_lift_shap,cpu,0,47,0.0854,0.1614309337465671,0.9853489483747608,0.14411698343573054,0.99375,captum / deep_lift_shap
covertype,mlp,captum,gradient_shap,cpu,0,54,0.0605,0.047328014643837,0.979186811788981,0.12190236430552469,0.9831460674157303,captum / gradient_shap
covertype,mlp,captum,deep_lift_shap,cpu,0,54,0.0178,0.3273703648181633,0.9111044285729237,0.355572069369351,0.9217877094972067,captum / deep_lift_shap
covertype,transformer,captum,gradient_shap,cpu,0,54,7.161,0.0458551103169947,0.347455077970395,1.2229928300316228,0.6666666666666666,captum / gradient_shap
covertype,transformer,captum,deep_lift_shap,cpu,0,54,2.7488,1.2288496316677264,0.8780099738779388,0.47977289593881495,0.9194444444444444,captum / deep_lift_shap
covertype,cnn_1d,captum,gradient_shap,cpu,0,54,0.1418,0.1696169426967471,0.9585925750019791,0.15234528341070014,0.9777777777777777,captum / gradient_shap
covertype,cnn_1d,captum,deep_lift_shap,cpu,0,54,0.095,0.1972877590051619,0.9671178659067522,0.20221771452789675,0.9805555555555555,captum / deep_lift_shap
gisette,mlp,captum,gradient_shap,cpu,1,100,0.0712,0.0798944966657531,0.9946918691869187,0.12028792726382888,0.97,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,cpu,1,100,0.0187,0.8713419406577623,0.9825502550255024,0.893320364847652,0.933,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,cpu,1,100,13.6673,0.1394666435449522,0.5206996699669967,1.8846982489783306,0.676,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,cpu,1,100,5.2796,0.9856528614511632,0.5206996699669967,1.8846982489783306,0.676,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,cpu,1,100,0.2167,0.0337307576680735,0.9918415841584156,0.08817824040411079,0.99,captum / gradient_shap
gisette,cnn_1d,captum,deep_lift_shap,cpu,1,100,0.1791,0.001154370155272,0.9946270627062705,0.06772806991115539,0.99,captum / deep_lift_shap
ames_housing,mlp,captum,gradient_shap,cpu,1,79,0.0595,0.0786980678578371,0.9897536394176931,0.10103867044696284,0.9605263157894737,captum / gradient_shap
ames_housing,mlp,captum,deep_lift_shap,cpu,1,79,0.016,2.024776667255088e-07,0.9913092166122984,0.09689593174139113,0.9631578947368421,captum / deep_lift_shap
ames_housing,transformer,captum,gradient_shap,cpu,1,79,10.773,0.0939149467247197,0.7813525488095816,0.7776341544746852,0.8013157894736842,captum / gradient_shap
ames_housing,transformer,captum,deep_lift_shap,cpu,1,79,4.0742,0.5718947828117826,0.9799113880909488,0.148734259778029,0.9618421052631579,captum / deep_lift_shap
ames_housing,cnn_1d,captum,gradient_shap,cpu,1,79,0.1828,0.0443255368173034,0.9941512996098808,0.07554203797181021,0.9907529722589168,captum / gradient_shap
ames_housing,cnn_1d,captum,deep_lift_shap,cpu,1,79,0.1461,6.774419797618612e-07,0.9968011643094566,0.05509446761639377,0.9973614775725593,captum / deep_lift_shap
bike,mlp,captum,gradient_shap,cpu,1,12,0.0604,0.0540113567147806,0.988811188811189,0.08910335839037942,0.9583333333333334,captum / gradient_shap
bike,mlp,captum,deep_lift_shap,cpu,1,12,0.017,8.475201395098383e-08,0.988811188811189,0.06353413170387276,0.975,captum / deep_lift_shap
bike,transformer,captum,gradient_shap,cpu,1,12,1.6055,0.0436881428612914,0.9314685314685315,0.21383831276744275,0.8916666666666667,captum / gradient_shap
bike,transformer,captum,deep_lift_shap,cpu,1,12,0.6024,1.2984675888754793,0.32027972027972035,1.222877542544936,0.6166666666666667,captum / deep_lift_shap
bike,cnn_1d,captum,gradient_shap,cpu,1,12,0.0778,0.0422416386124833,0.9923076923076923,0.058074718111678726,0.9916666666666667,captum / gradient_shap
bike,cnn_1d,captum,deep_lift_shap,cpu,1,12,0.029,3.815624902895328e-07,0.9944055944055945,0.04847171302922227,1.0,captum / deep_lift_shap
diabetes_130,mlp,captum,gradient_shap,cpu,1,47,0.0615,0.124471343958078,0.9642913174981196,0.12101773359220781,0.954983922829582,captum / gradient_shap
diabetes_130,mlp,captum,deep_lift_shap,cpu,1,47,0.0175,0.5704260119829359,0.9677736897606583,0.366063587441936,0.9646302250803859,captum / deep_lift_shap
diabetes_130,transformer,captum,gradient_shap,cpu,1,47,6.4903,0.0320500824840589,0.7069117248366199,0.7472005583023389,0.7845659163987139,captum / gradient_shap
diabetes_130,transformer,captum,deep_lift_shap,cpu,1,47,2.3126,0.9223987262579962,0.9097264115032069,0.3654350272868796,0.9228295819935691,captum / deep_lift_shap
diabetes_130,cnn_1d,captum,gradient_shap,cpu,1,47,0.1396,0.0930654749167604,0.9747328244977543,0.12161891204171714,0.9871382636655949,captum / gradient_shap
diabetes_130,cnn_1d,captum,deep_lift_shap,cpu,1,47,0.0821,0.2222761212783429,0.9777463335576483,0.23242951167473552,0.9839228295819936,captum / deep_lift_shap
covertype,mlp,captum,gradient_shap,cpu,1,54,0.0616,0.0346793863489677,0.9649183449393351,0.11826307502086521,0.9611111111111111,captum / gradient_shap
covertype,mlp,captum,deep_lift_shap,cpu,1,54,0.0179,0.2608086005215397,0.9388147817594922,0.343216448306241,0.9335180055401662,captum / deep_lift_shap
covertype,transformer,captum,gradient_shap,cpu,1,54,7.2575,0.0878586338162661,0.45535772997401375,1.209888100612307,0.6952908587257618,captum / gradient_shap
covertype,transformer,captum,deep_lift_shap,cpu,1,54,2.7364,0.7595027135829935,0.7937659558639755,0.7680861835470745,0.8781163434903048,captum / deep_lift_shap
covertype,cnn_1d,captum,gradient_shap,cpu,1,54,0.1475,0.0868664817290883,0.954878300010046,0.14196938294567232,0.9695290858725761,captum / gradient_shap
covertype,cnn_1d,captum,deep_lift_shap,cpu,1,54,0.1016,0.5459516530355393,0.846384942203857,0.39510943919031244,0.9279778393351801,captum / deep_lift_shap
gisette,mlp,captum,gradient_shap,cpu,2,100,0.0809,0.070317823853976,0.9937605760576055,0.13888604479628808,0.969,captum / gradient_shap
gisette,mlp,captum,deep_lift_shap,cpu,2,100,0.0196,0.9149854862024464,0.9813285328532853,1.2512970884792647,0.943,captum / deep_lift_shap
gisette,transformer,captum,gradient_shap,cpu,2,100,13.5854,0.2243477045676871,0.3357503750375037,1.9799464084759675,0.598,captum / gradient_shap
gisette,transformer,captum,deep_lift_shap,cpu,2,100,5.1187,1.0014039752387125,0.3357503750375037,1.9799464084759675,0.598,captum / deep_lift_shap
gisette,cnn_1d,captum,gradient_shap,cpu,2,100,0.2247,0.0920854768843171,0.9895265526552655,0.05445367047134841,0.999,captum / gradient_shap
gisette,cnn_1d,captum,deep_lift_shap,cpu,2,100,0.1882,0.0087114978892641,0.9934545454545454,0.041159204169451166,0.996,captum / deep_lift_shap
ames_housing,mlp,captum,gradient_shap,cpu,2,79,0.0612,0.0338659280133445,0.9872309287151655,0.08563691929931462,0.9608695652173913,captum / gradient_shap
ames_housing,mlp,captum,deep_lift_shap,cpu,2,79,0.0181,6.224452783924787e-08,0.9878382828221233,0.0851581231441092,0.9623188405797102,captum / deep_lift_shap
