dataset,model,library,approximator,device,seed,n_features,runtime_s,relative_additivity_gap,mean_sample_rho,relative_mae,sign_agreement,method
ames_housing,mlp,captum,deep_lift_shap,gpu,1,79,0.0351,1.0123883385472088e-07,0.9913092166122984,0.09689593313536038,0.9631578947368421,captum / deep_lift_shap
ames_housing,transformer,captum,gradient_shap,gpu,1,79,0.1817,,,,,captum / gradient_shap
ames_housing,transformer,captum,deep_lift_shap,gpu,1,79,0.2146,0.5860176366069831,0.7813525488095816,0.7776341544746852,0.8013157894736842,captum / deep_lift_shap
ames_housing,cnn_1d,captum,gradient_shap,gpu,1,79,0.1082,0.0687550843377088,0.9968011643094566,0.0550944512243549,0.9973614775725593,captum / gradient_shap
ames_housing,cnn_1d,captum,deep_lift_shap,gpu,1,79,0.0315,6.774417193205281e-07,0.9968011643094566,0.0550944512243549,0.9973614775725593,captum / deep_lift_shap
bike,mlp,captum,gradient_shap,gpu,1,12,0.0998,0.0327888714347085,0.988811188811189,0.06353413625493182,0.975,captum / gradient_shap
bike,mlp,captum,deep_lift_shap,gpu,1,12,0.0299,1.483160160551178e-07,0.988811188811189,0.06353413625493182,0.975,captum / deep_lift_shap
bike,transformer,captum,gradient_shap,gpu,1,12,0.1805,0.0433878509699282,0.2867132867132868,1.1855759063920606,0.625,captum / gradient_shap
bike,transformer,captum,deep_lift_shap,gpu,1,12,0.0498,0.9038644220095902,0.2867132867132868,1.1855759063920606,0.625,captum / deep_lift_shap
bike,cnn_1d,captum,gradient_shap,gpu,1,12,0.114,0.0614645580595196,0.9944055944055945,0.04847172960792002,1.0,captum / gradient_shap
bike,cnn_1d,captum,deep_lift_shap,gpu,1,12,0.0447,2.861718303187401e-07,0.9944055944055945,0.04847172960792002,1.0,captum / deep_lift_shap
diabetes_130,mlp,captum,gradient_shap,gpu,1,47,0.121,0.0544736742095063,0.9677736897606583,0.3660636122839965,0.9646302250803859,captum / gradient_shap
