dataset,model,n_features,seed,library,approximator,budget,method,runtime_s,n_model_evals,cross_method_rho_mean,hit_time_cap,evals_missing
ames_housing,gradient_boosting,14,0,lightshap,permutation,1024,lightshap / permutation,51.0179,22556110.0,0.9840700519899649,False,False
ames_housing,gradient_boosting,14,0,dalex,permutation,512,dalex / permutation,9.2096,556111.0,0.9722050981910738,False,False
ames_housing,gradient_boosting,14,0,dalex,permutation,1024,dalex / permutation,18.0428,1096111.0,0.9862143354791306,False,False
ames_housing,random_forest,32,0,shap,kernel,512,shap / kernel,1.8811,512110.0,0.8052885350683753,False,False
ames_housing,random_forest,32,0,shap,kernel,1024,shap / kernel,3.6839,1024110.0,0.8166811469307548,False,False
ames_housing,random_forest,32,0,shap,permutation,512,shap / permutation,6.0724,343189.0,0.9291512866882997,False,False
ames_housing,random_forest,32,0,shap,permutation,1024,shap / permutation,3.5043,704994.0,0.9481441874480332,False,False
ames_housing,random_forest,32,0,shapiq,kernel,512,shapiq / kernel,9.063,512101.0,0.8423560580526154,False,False
ames_housing,random_forest,32,0,shapiq,kernel,1024,shapiq / kernel,11.2222,1024101.0,0.8849110304376705,False,False
ames_housing,random_forest,32,0,shapiq,permutation,512,shapiq / permutation,42.2862,498101.0,0.921542868303609,False,False
ames_housing,random_forest,32,0,shapiq,permutation,1024,shapiq / permutation,63.893,994101.0,0.9466996589754219,False,False
ames_housing,random_forest,32,0,lightshap,kernel,512,lightshap / kernel,141.1741,31744110.0,0.9320251356684653,False,False
ames_housing,random_forest,32,0,lightshap,kernel,1024,lightshap / kernel,281.7675,63488110.0,0.9476580779398825,False,False
ames_housing,random_forest,32,0,lightshap,permutation,512,lightshap / permutation,135.1338,29760110.0,0.9343335416597113,False,False
ames_housing,random_forest,32,0,lightshap,permutation,1024,lightshap / permutation,271.3964,59456110.0,0.9494202577767953,False,False
ames_housing,random_forest,32,0,dalex,permutation,512,dalex / permutation,38.9608,529111.0,0.9283820884884405,False,False
ames_housing,random_forest,32,0,dalex,permutation,1024,dalex / permutation,77.8034,1057111.0,0.9450776508729904,False,False
