dataset,model,n_features,library,approximator,budget,method,seed_count,run_count,time_cap_count,evals_missing_count,runtime_median,runtime_q25,runtime_q75,evals_median,cross_method_rho_median,successful_run_count
ames_housing,decision_tree,79,shapiq,permutation,1024,shapiq / permutation,10,10,0,0,3.6018999999999997,3.584025,3.61825,1016101.0,0.7176204519209355,10
ames_housing,gradient_boosting,14,dalex,permutation,520,dalex / permutation,10,10,0,0,9.09345,8.986324999999999,9.20955,556111.0,0.974976152377367,10
ames_housing,gradient_boosting,14,dalex,permutation,1024,dalex / permutation,10,10,0,0,18.03235,17.890325,18.388175,1096111.0,0.984016127863006,10
ames_housing,gradient_boosting,14,lightshap,kernel,520,lightshap / kernel,10,10,0,0,27.30095,27.03625,27.651625,13520110.0,0.9799650889483711,10
ames_housing,gradient_boosting,14,lightshap,kernel,1024,lightshap / kernel,10,10,0,0,54.04545,53.174825,54.454825,26624110.0,0.984788394947215,10
ames_housing,gradient_boosting,14,lightshap,permutation,520,lightshap / permutation,10,10,0,0,25.85035,25.594925,25.946925,11468110.0,0.9816547425956461,10
ames_housing,gradient_boosting,14,lightshap,permutation,1024,lightshap / permutation,10,10,0,0,50.948,50.5921,51.321175,22556110.0,0.9863374181134026,10
ames_housing,gradient_boosting,14,shap,kernel,520,shap / kernel,10,10,0,0,0.38575000000000004,0.380375,0.39305,520110.0,0.9751856801956611,10
ames_housing,gradient_boosting,14,shap,kernel,1024,shap / kernel,10,10,0,0,0.6857500000000001,0.6759999999999999,0.6898,1024110.0,0.9807248355637376,10
ames_housing,gradient_boosting,14,shap,permutation,520,shap / permutation,10,10,0,0,4.722049999999999,4.66245,4.7659,349682.0,0.9817013095733491,10
ames_housing,gradient_boosting,14,shap,permutation,1024,shap / permutation,10,10,0,0,1.00915,0.986575,1.042475,699838.0,0.9881687939978576,10
ames_housing,gradient_boosting,14,shapiq,kernel,520,shapiq / kernel,10,10,0,0,1.95895,1.928125,1.9798499999999999,520101.0,0.9581184465781041,10
ames_housing,gradient_boosting,14,shapiq,kernel,1024,shapiq / kernel,10,10,0,0,2.3840000000000003,2.3447500000000003,2.39905,1024101.0,0.9717579762635098,10
ames_housing,gradient_boosting,14,shapiq,permutation,520,shapiq / permutation,10,10,0,0,14.700949999999999,14.546475000000001,14.906775,509101.0,0.9757565606828487,10
ames_housing,gradient_boosting,14,shapiq,permutation,1024,shapiq / permutation,10,10,0,0,26.418950000000002,26.1514,26.767325,1016101.0,0.981873490056736,10
ames_housing,gradient_boosting,32,dalex,permutation,520,dalex / permutation,10,10,0,0,8.9086,8.83895,8.924125,529111.0,0.9398346874023837,10
