dataset,model,n_background,n_features,n_samples,max_depth,n_estimators,max_depth_config,order,backend,library,mode,seed,imputer,n_eval,runtime_s,additivity_gap,relative_additivity_gap,mean_abs_diff,relative_mae,sign_agreement,mean_sample_rho,is_failure
gisette,xgboost,100,1000,10000,20,100,20,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,1.5001,0.0181686401367187,0.0027859148338792,7.321961234494074e-05,0.0060506627172390685,0.9987654320987654,0.9983603767794762,False
gisette,xgboost,100,1000,10000,20,100,20,1,woodelf_interventional,woodelf,interventional,0,marginal,10,1.6712,8.219190941183285e-07,1.2218438636094837e-07,1.6632996362873114e-10,1.3867697098776264e-08,1.0,0.9997827766082228,False
gisette,xgboost,100,1000,10000,20,100,20,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,0.0001,,,,,,,True
gisette,xgboost,100,1000,10000,20,100,30,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0459,2.8133392333984377e-06,4.318686911625701e-07,7.321975031644728e-05,0.006050674042446764,0.9987654320987654,0.9983603767794762,False
gisette,xgboost,100,1000,10000,20,100,30,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.6244,0.0244780742291162,0.0037575681412611,0.00014643656964778983,0.012101105612051553,0.9975308641975309,0.9967207535589523,False
gisette,xgboost,100,1000,10000,20,100,30,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,9.8356,8.18741808572554e-07,1.2171206084456457e-07,1.663299636509356e-10,1.3867697100627554e-08,1.0,0.9997827766082228,False
gisette,xgboost,100,1000,10000,20,100,30,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,1.4604,0.0181686401367187,0.0027859148338792,7.321961234494074e-05,0.0060506627172390685,0.9987654320987654,0.9983603767794762,False
gisette,xgboost,100,1000,10000,20,100,30,1,woodelf_interventional,woodelf,interventional,0,marginal,10,1.6556,8.219190941183285e-07,1.2218438636094837e-07,1.663299636509356e-10,1.3867697100627554e-08,1.0,0.9997827766082228,False
gisette,xgboost,100,1000,10000,20,100,30,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,0.0001,,,,,,,True
gisette,xgboost,100,1000,10000,20,100,50,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0436,2.8133392333984377e-06,4.318686911625701e-07,7.321975031644728e-05,0.006050674042446764,0.9987654320987654,0.9983603767794762,False
gisette,xgboost,100,1000,10000,20,100,50,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.6152,0.0244780742291162,0.0037575681412611,0.00014643656964778983,0.012101105612051553,0.9975308641975309,0.9967207535589523,False
gisette,xgboost,100,1000,10000,20,100,50,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,9.8595,8.18741808572554e-07,1.2171206084456457e-07,1.663299636509356e-10,1.3867697100627554e-08,1.0,0.9997827766082228,False
gisette,xgboost,100,1000,10000,20,100,50,1,woodelf_path_dependent,woodelf,path_dependent,0,marginal,10,1.4349,0.0181686401367187,0.0027859148338792,7.321961234494074e-05,0.0060506627172390685,0.9987654320987654,0.9983603767794762,False
gisette,xgboost,100,1000,10000,20,100,50,1,woodelf_interventional,woodelf,interventional,0,marginal,10,1.6197,8.219190941183285e-07,1.2218438636094837e-07,1.663299636509356e-10,1.3867697100627554e-08,1.0,0.9997827766082228,False
gisette,xgboost,100,1000,10000,20,100,50,1,fasttreeshap_path_dependent,fasttreeshap,path_dependent,0,marginal,10,0.0001,,,,,,,True
gisette,xgboost,100,1000,10000,20,100,80,1,shap_tree_path_dependent,shap,path_dependent,0,marginal,10,0.0475,2.8133392333984377e-06,4.318686911625701e-07,7.321975031644728e-05,0.006050674042446764,0.9987654320987654,0.9983603767794762,False
gisette,xgboost,100,1000,10000,20,100,80,1,shapiq_tree_path_dependent,shapiq,path_dependent,0,marginal,10,0.6254,0.0244780742291162,0.0037575681412611,0.00014643656964778983,0.012101105612051553,0.9975308641975309,0.9967207535589523,False
gisette,xgboost,100,1000,10000,20,100,80,1,shapiq_tree_interventional,shapiq,interventional,0,marginal,10,10.109,8.18741808572554e-07,1.2171206084456457e-07,1.663299636120778e-10,1.3867697097387798e-08,1.0,0.9997827766082228,False
