dataset,model,library,backend,approximator,budget,method,is_reference,seed_count,runtime_median,runtime_q25,runtime_q75,relative_mae_median,rho_median
ames_housing,gradient_boosting,shapiq,shapiq_approx,permutation,128.0,shapiq / permutation,False,10,7.25745,7.1792,7.328325,0.10360664411121837,0.9765734265734267
ames_housing,gradient_boosting,shapiq,shapiq_approx,permutation,512.0,shapiq / permutation,False,10,17.3244,17.190175,17.507025,0.05394108712614791,0.990909090909091
ames_housing,gradient_boosting,shapiq,shapiq_approx,permutation,2048.0,shapiq / permutation,False,10,57.90095,57.51,58.394149999999996,0.027199763091277723,0.9958041958041959
ames_housing,linear_regularized,dalex,dalex_approx,permutation,128.0,dalex / permutation,False,10,0.8841,0.876575,0.88805,7.586514909933026e-15,1.0
ames_housing,linear_regularized,dalex,dalex_approx,permutation,512.0,dalex / permutation,False,10,3.4917,3.338375,3.52095,7.419200269378641e-15,1.0
ames_housing,linear_regularized,dalex,dalex_approx,permutation,2048.0,dalex / permutation,False,10,13.18395,13.0765,13.355599999999999,7.45998398420572e-15,1.0
ames_housing,linear_regularized,lightshap,lightshap_approx,kernel,128.0,lightshap / kernel,False,10,0.051000000000000004,0.050225,0.051475,9.816437787795822e-15,1.0
ames_housing,linear_regularized,lightshap,lightshap_approx,kernel,512.0,lightshap / kernel,False,10,0.04955,0.0494,0.05005,9.816437787795822e-15,1.0
ames_housing,linear_regularized,lightshap,lightshap_approx,kernel,2048.0,lightshap / kernel,False,10,0.0495,0.049125,0.049775,9.816437787795822e-15,1.0
ames_housing,linear_regularized,lightshap,lightshap_approx,permutation,128.0,lightshap / permutation,False,10,0.0701,0.06947500000000001,0.07037500000000001,7.763566841761015e-15,1.0
ames_housing,linear_regularized,lightshap,lightshap_approx,permutation,512.0,lightshap / permutation,False,10,0.06955,0.06895,0.07,7.763566841761015e-15,1.0
ames_housing,linear_regularized,lightshap,lightshap_approx,permutation,2048.0,lightshap / permutation,False,10,0.0696,0.069025,0.06997500000000001,7.763566841761015e-15,1.0
ames_housing,linear_regularized,shap,shap_approx,kernel,128.0,shap / kernel,False,10,0.04755,0.0468,0.048575,0.004908583935408762,0.9963237695942129
ames_housing,linear_regularized,shap,shap_approx,kernel,512.0,shap / kernel,False,10,0.1178,0.11665,0.11905,0.0033081082208893794,0.9982502173821434
ames_housing,linear_regularized,shap,shap_approx,kernel,2048.0,shap / kernel,False,10,0.46155,0.456025,0.4646,0.0030709162085856274,0.9982502173821434
ames_housing,linear_regularized,shap,shap_approx,permutation,128.0,shap / permutation,False,10,0.054599999999999996,0.053675,0.055375,7.61775479501954e-15,1.0
ames_housing,linear_regularized,shap,shap_approx,permutation,512.0,shap / permutation,False,10,0.15895,0.15525,0.1606,6.623174380704933e-15,1.0
ames_housing,linear_regularized,shap,shap_approx,permutation,2048.0,shap / permutation,False,10,0.6046,0.594225,0.613125,6.42104300246633e-15,1.0
ames_housing,linear_regularized,shapiq,shapiq_approx,kernel,128.0,shapiq / kernel,False,10,0.51715,0.512425,0.5247999999999999,1.5398308906701326e-07,1.0
ames_housing,linear_regularized,shapiq,shapiq_approx,kernel,512.0,shapiq / kernel,False,10,0.64505,0.636275,0.6543749999999999,2.8824389806741376e-07,1.0
ames_housing,linear_regularized,shapiq,shapiq_approx,kernel,2048.0,shapiq / kernel,False,10,1.29685,1.280775,1.317625,4.2112064022347556e-07,1.0
ames_housing,linear_regularized,shapiq,shapiq_approx,permutation,128.0,shapiq / permutation,False,10,2.3078000000000003,2.284525,2.320475,7.751363110144612e-15,1.0
ames_housing,linear_regularized,shapiq,shapiq_approx,permutation,512.0,shapiq / permutation,False,10,5.58925,5.470875,5.60755,7.489889092361248e-15,1.0
ames_housing,linear_regularized,shapiq,shapiq_approx,permutation,2048.0,shapiq / permutation,False,10,18.6918,18.573625,18.795625,7.734314946114549e-15,1.0
ames_housing,random_forest,dalex,dalex_approx,permutation,128.0,dalex / permutation,False,10,10.6817,10.582875,10.69975,0.10683359585973987,0.9667832167832169
ames_housing,random_forest,dalex,dalex_approx,permutation,512.0,dalex / permutation,False,10,41.006699999999995,40.655325000000005,41.41565,0.04658144206937423,0.9905434915961232
ames_housing,random_forest,dalex,dalex_approx,permutation,2048.0,dalex / permutation,False,10,162.96245,161.58522499999998,164.62355,0.023614490545270816,0.9958041958041959
ames_housing,random_forest,lightshap,lightshap_approx,kernel,128.0,lightshap / kernel,False,10,6.5709,5.7520999999999995,7.807525,0.027469251281555536,0.9933566433566434
ames_housing,random_forest,lightshap,lightshap_approx,kernel,512.0,lightshap / kernel,False,10,7.7652,7.108225,9.0529,0.02705564119410371,0.9930069930069931
ames_housing,random_forest,lightshap,lightshap_approx,kernel,2048.0,lightshap / kernel,False,10,7.809699999999999,7.17685,9.0699,0.027043027967035935,0.9930069930069931
ames_housing,random_forest,lightshap,lightshap_approx,permutation,128.0,lightshap / permutation,False,10,6.305149999999999,5.680175,7.339725,0.020179074627424944,0.9960623713933305
ames_housing,random_forest,lightshap,lightshap_approx,permutation,512.0,lightshap / permutation,False,10,7.375249999999999,6.739974999999999,8.699125,0.019943300439817468,0.9954545454545456
ames_housing,random_forest,lightshap,lightshap_approx,permutation,2048.0,lightshap / permutation,False,10,7.376150000000001,6.7214,8.680275,0.019943300439817468,0.9954545454545456
ames_housing,random_forest,shap,shap_approx,kernel,128.0,shap / kernel,False,10,0.5991500000000001,0.5922000000000001,0.6021500000000001,0.06914242650245288,0.965850868221495
ames_housing,random_forest,shap,shap_approx,kernel,512.0,shap / kernel,False,10,1.7277,1.7063249999999999,1.751375,0.032297367515314465,0.9879174519741529
ames_housing,random_forest,shap,shap_approx,kernel,2048.0,shap / kernel,False,10,6.13585,5.974525,6.262825,0.012002477776483873,0.9938719269550287
ames_housing,random_forest,shap,shap_approx,permutation,128.0,shap / permutation,False,10,0.83995,0.8321500000000001,0.8449500000000001,0.04746922132985468,0.9873892773892774
